custom_id,prompt_id,left_model,right_model,model_a,model_b,order,input_tokens_est
ronpo-s2-gpt55|0003ab4e65c4d9ba59eec49296250a92ffd5fccb|baseline|htmnpo_skywork_s2|flip,0003ab4e65c4d9ba59eec49296250a92ffd5fccb,baseline,htmnpo_skywork_s2,htmnpo_skywork_s2,baseline,flip,2223.2
ronpo-s2-gpt55|0003ab4e65c4d9ba59eec49296250a92ffd5fccb|baseline|htmnpo_athene_s2|keep,0003ab4e65c4d9ba59eec49296250a92ffd5fccb,baseline,htmnpo_athene_s2,baseline,htmnpo_athene_s2,keep,1799.0
ronpo-s2-gpt55|0003ab4e65c4d9ba59eec49296250a92ffd5fccb|baseline|htmnpo_armo_s2|keep,0003ab4e65c4d9ba59eec49296250a92ffd5fccb,baseline,htmnpo_armo_s2,baseline,htmnpo_armo_s2,keep,2041.0
ronpo-s2-gpt55|0003ab4e65c4d9ba59eec49296250a92ffd5fccb|baseline|ronpo_s2_ckpt1400|keep,0003ab4e65c4d9ba59eec49296250a92ffd5fccb,baseline,ronpo_s2_ckpt1400,baseline,ronpo_s2_ckpt1400,keep,2239.0
ronpo-s2-gpt55|0003ab4e65c4d9ba59eec49296250a92ffd5fccb|baseline|ronpo_s2_ckpt2457|flip,0003ab4e65c4d9ba59eec49296250a92ffd5fccb,baseline,ronpo_s2_ckpt2457,ronpo_s2_ckpt2457,baseline,flip,2550.2
ronpo-s2-gpt55|0003ab4e65c4d9ba59eec49296250a92ffd5fccb|htmnpo_skywork_s2|htmnpo_athene_s2|flip,0003ab4e65c4d9ba59eec49296250a92ffd5fccb,htmnpo_skywork_s2,htmnpo_athene_s2,htmnpo_athene_s2,htmnpo_skywork_s2,flip,1577.5
ronpo-s2-gpt55|0003ab4e65c4d9ba59eec49296250a92ffd5fccb|htmnpo_skywork_s2|htmnpo_armo_s2|flip,0003ab4e65c4d9ba59eec49296250a92ffd5fccb,htmnpo_skywork_s2,htmnpo_armo_s2,htmnpo_armo_s2,htmnpo_skywork_s2,flip,1819.5
ronpo-s2-gpt55|0003ab4e65c4d9ba59eec49296250a92ffd5fccb|htmnpo_skywork_s2|ronpo_s2_ckpt1400|keep,0003ab4e65c4d9ba59eec49296250a92ffd5fccb,htmnpo_skywork_s2,ronpo_s2_ckpt1400,htmnpo_skywork_s2,ronpo_s2_ckpt1400,keep,2017.5
ronpo-s2-gpt55|0003ab4e65c4d9ba59eec49296250a92ffd5fccb|htmnpo_skywork_s2|ronpo_s2_ckpt2457|keep,0003ab4e65c4d9ba59eec49296250a92ffd5fccb,htmnpo_skywork_s2,ronpo_s2_ckpt2457,htmnpo_skywork_s2,ronpo_s2_ckpt2457,keep,2328.8
ronpo-s2-gpt55|0003ab4e65c4d9ba59eec49296250a92ffd5fccb|htmnpo_athene_s2|htmnpo_armo_s2|keep,0003ab4e65c4d9ba59eec49296250a92ffd5fccb,htmnpo_athene_s2,htmnpo_armo_s2,htmnpo_athene_s2,htmnpo_armo_s2,keep,1395.2
ronpo-s2-gpt55|0003ab4e65c4d9ba59eec49296250a92ffd5fccb|htmnpo_athene_s2|ronpo_s2_ckpt1400|flip,0003ab4e65c4d9ba59eec49296250a92ffd5fccb,htmnpo_athene_s2,ronpo_s2_ckpt1400,ronpo_s2_ckpt1400,htmnpo_athene_s2,flip,1593.2
ronpo-s2-gpt55|0003ab4e65c4d9ba59eec49296250a92ffd5fccb|htmnpo_athene_s2|ronpo_s2_ckpt2457|keep,0003ab4e65c4d9ba59eec49296250a92ffd5fccb,htmnpo_athene_s2,ronpo_s2_ckpt2457,htmnpo_athene_s2,ronpo_s2_ckpt2457,keep,1904.5
ronpo-s2-gpt55|0003ab4e65c4d9ba59eec49296250a92ffd5fccb|htmnpo_armo_s2|ronpo_s2_ckpt1400|keep,0003ab4e65c4d9ba59eec49296250a92ffd5fccb,htmnpo_armo_s2,ronpo_s2_ckpt1400,htmnpo_armo_s2,ronpo_s2_ckpt1400,keep,1835.2
ronpo-s2-gpt55|0003ab4e65c4d9ba59eec49296250a92ffd5fccb|htmnpo_armo_s2|ronpo_s2_ckpt2457|keep,0003ab4e65c4d9ba59eec49296250a92ffd5fccb,htmnpo_armo_s2,ronpo_s2_ckpt2457,htmnpo_armo_s2,ronpo_s2_ckpt2457,keep,2146.5
