left_model,right_model,n,left_win_rate,right_win_rate,tie_rate,mean_confidence
baseline,htmnpo_armo_s2,647,0.5927,0.4073,0.1036,0.7673
baseline,htmnpo_athene_s2,647,0.643,0.357,0.1175,0.7645
baseline,htmnpo_skywork_s2,647,0.5618,0.4382,0.1159,0.7604
baseline,ronpo_s2_ckpt1400,647,0.5108,0.4892,0.1314,0.7597
baseline,ronpo_s2_ckpt2457,647,0.4822,0.5178,0.136,0.7647
htmnpo_armo_s2,ronpo_s2_ckpt1400,647,0.3833,0.6167,0.136,0.7549
htmnpo_armo_s2,ronpo_s2_ckpt2457,647,0.3617,0.6383,0.1051,0.756
htmnpo_athene_s2,htmnpo_armo_s2,647,0.4436,0.5564,0.204,0.7695
htmnpo_athene_s2,ronpo_s2_ckpt1400,647,0.347,0.653,0.1592,0.7548
htmnpo_athene_s2,ronpo_s2_ckpt2457,647,0.3145,0.6855,0.1376,0.7688
htmnpo_skywork_s2,htmnpo_armo_s2,647,0.5773,0.4227,0.1808,0.7526
htmnpo_skywork_s2,htmnpo_athene_s2,647,0.6406,0.3594,0.1654,0.7586
htmnpo_skywork_s2,ronpo_s2_ckpt1400,647,0.4575,0.5425,0.1669,0.7473
htmnpo_skywork_s2,ronpo_s2_ckpt2457,647,0.4134,0.5866,0.1808,0.7473
ronpo_s2_ckpt1400,ronpo_s2_ckpt2457,647,0.4645,0.5355,0.3385,0.7584
