left_model,right_model,n,left_win_rate,right_win_rate,tie_rate,mean_confidence,ci_low,ci_high,bootstrap_iterations
baseline,htmnpo_armo_s2,647,0.5927357032457496,0.40726429675425035,0.1035548686244204,0.7672642967542503,0.5571870170015456,0.6267581143740338,2000
baseline,htmnpo_athene_s2,647,0.642967542503864,0.357032457496136,0.11746522411128284,0.7645131375579598,0.6089644513137558,0.678516228748068,2000
baseline,htmnpo_skywork_s2,647,0.5618238021638331,0.4381761978361669,0.11591962905718702,0.760386398763524,0.5247295208655333,0.5965996908809892,2000
baseline,ronpo_s2_ckpt1400,647,0.5108191653786708,0.4891808346213292,0.13137557959814528,0.7596754250386398,0.4752704791344668,0.5455950540958269,2000
baseline,ronpo_s2_ckpt2457,647,0.482225656877898,0.517774343122102,0.13601236476043277,0.7646676970633693,0.4466576506955178,0.5185664605873261,2000
htmnpo_armo_s2,ronpo_s2_ckpt1400,647,0.38330757341576505,0.616692426584235,0.13601236476043277,0.7549304482225657,0.34853168469860896,0.4180834621329212,2000
htmnpo_armo_s2,ronpo_s2_ckpt2457,647,0.3616692426584235,0.6383307573415765,0.10510046367851623,0.7560278207109737,0.3268933539412674,0.3964451313755796,2000
htmnpo_athene_s2,htmnpo_armo_s2,647,0.4435857805255023,0.5564142194744977,0.20401854714064915,0.7694590417310665,0.4095826893353941,0.4752897990726429,2000
htmnpo_athene_s2,ronpo_s2_ckpt1400,647,0.34698608964451316,0.6530139103554868,0.15919629057187018,0.754806800618238,0.31452859350850076,0.3786707882534776,2000
htmnpo_athene_s2,ronpo_s2_ckpt2457,647,0.31452859350850076,0.6854714064914993,0.1375579598145286,0.7687635239567233,0.28052550231839257,0.34855100463678507,2000
htmnpo_skywork_s2,htmnpo_armo_s2,647,0.5772797527047914,0.42272024729520863,0.18083462132921174,0.752596599690881,0.5432766615146831,0.6136012364760433,2000
htmnpo_skywork_s2,htmnpo_athene_s2,647,0.6406491499227203,0.35935085007727974,0.16537867078825347,0.7586398763523957,0.6089451313755795,0.6738794435857806,2000
htmnpo_skywork_s2,ronpo_s2_ckpt1400,647,0.4574961360123648,0.5425038639876352,0.16692426584234932,0.7473415765069552,0.42194744976816073,0.49227202472952086,2000
htmnpo_skywork_s2,ronpo_s2_ckpt2457,647,0.4134466769706337,0.5865533230293662,0.18083462132921174,0.7473261205564142,0.3802163833075734,0.4466962905718701,2000
ronpo_s2_ckpt1400,ronpo_s2_ckpt2457,647,0.46445131375579596,0.535548686244204,0.3384853168469861,0.7583771251931993,0.4319938176197836,0.49613601236476046,2000
