left_model,right_model,n,left_win_rate,right_win_rate,tie_rate,mean_confidence,ci_low,ci_high,bootstrap_iterations
baseline,htmnpo_armo_s2,162,0.6080246913580247,0.3919753086419753,0.09259259259259259,0.7627777777777778,0.5339506172839507,0.6790123456790124,2000
baseline,htmnpo_athene_s2,162,0.6790123456790124,0.32098765432098764,0.14814814814814814,0.7674691358024691,0.6111111111111112,0.7438271604938271,2000
baseline,htmnpo_skywork_s2,162,0.6666666666666666,0.33333333333333337,0.12345679012345678,0.7685802469135803,0.595679012345679,0.7345679012345679,2000
baseline,ronpo_s2_ckpt1400,162,0.6141975308641975,0.3858024691358025,0.15432098765432098,0.7620987654320988,0.5462962962962963,0.6790895061728391,2000
baseline,ronpo_s2_ckpt2457,162,0.5833333333333334,0.41666666666666663,0.15432098765432098,0.7594444444444445,0.5092592592592593,0.6512345679012346,2000
htmnpo_armo_s2,ronpo_s2_ckpt1400,162,0.46296296296296297,0.537037037037037,0.20987654320987653,0.7545061728395062,0.3950617283950617,0.5340277777777774,2000
htmnpo_armo_s2,ronpo_s2_ckpt2457,162,0.4722222222222222,0.5277777777777778,0.16666666666666666,0.752962962962963,0.4012345679012346,0.5401234567901234,2000
htmnpo_athene_s2,htmnpo_armo_s2,162,0.42592592592592593,0.5740740740740741,0.2716049382716049,0.744320987654321,0.3580246913580246,0.4876543209876543,2000
htmnpo_athene_s2,ronpo_s2_ckpt1400,162,0.4506172839506173,0.5493827160493827,0.18518518518518517,0.7517901234567901,0.38271604938271603,0.5216049382716049,2000
htmnpo_athene_s2,ronpo_s2_ckpt2457,162,0.404320987654321,0.595679012345679,0.19135802469135801,0.7574691358024691,0.3363425925925926,0.4722222222222222,2000
htmnpo_skywork_s2,htmnpo_armo_s2,162,0.49691358024691357,0.5030864197530864,0.2654320987654321,0.7501234567901235,0.42901234567901236,0.558641975308642,2000
htmnpo_skywork_s2,htmnpo_athene_s2,162,0.6018518518518519,0.39814814814814814,0.22839506172839505,0.7434567901234568,0.5370370370370371,0.6666666666666666,2000
htmnpo_skywork_s2,ronpo_s2_ckpt1400,162,0.5092592592592593,0.4907407407407407,0.19135802469135801,0.759753086419753,0.4382716049382716,0.5771604938271605,2000
htmnpo_skywork_s2,ronpo_s2_ckpt2457,162,0.4567901234567901,0.5432098765432098,0.2222222222222222,0.7520370370370371,0.3888888888888889,0.5277777777777778,2000
ronpo_s2_ckpt1400,ronpo_s2_ckpt2457,162,0.46296296296296297,0.537037037037037,0.4691358024691358,0.7911728395061728,0.4074074074074074,0.5185185185185185,2000
