left_model,right_model,n,left_win_rate,right_win_rate,tie_rate,mean_confidence,ci_low,ci_high,bootstrap_iterations
baseline,htmnpo_armo_s2,86,0.6918604651162791,0.3081395348837209,0.05813953488372093,0.8275581395348838,0.6009052882266732,0.7772285952319918,200
baseline,htmnpo_athene_s2,91,0.7307692307692307,0.2692307692307693,0.07692307692307693,0.8285714285714285,0.6406206109550562,0.801326164874552,200
baseline,htmnpo_skywork_s2,90,0.7111111111111111,0.28888888888888886,0.06666666666666667,0.8164444444444444,0.6164798850574713,0.7891581030002363,200
baseline,ronpo_s2_ckpt1400,83,0.6385542168674698,0.3614457831325302,0.04819277108433735,0.8281927710843373,0.5402109800362976,0.7352941176470589,200
baseline,ronpo_s2_ckpt2457,84,0.5773809523809523,0.42261904761904767,0.08333333333333333,0.8266666666666667,0.4657319518716578,0.6829667537746806,200
htmnpo_armo_s2,ronpo_s2_ckpt1400,95,0.4473684210526316,0.5526315789473684,0.09473684210526316,0.8069473684210526,0.33328804347826085,0.5567039597000938,200
htmnpo_armo_s2,ronpo_s2_ckpt2457,90,0.42777777777777776,0.5722222222222222,0.1,0.8216666666666667,0.33151857937310414,0.5417325949367088,200
htmnpo_athene_s2,htmnpo_armo_s2,92,0.45108695652173914,0.5489130434782609,0.20652173913043478,0.8203260869565218,0.3617816091954023,0.5478950441100157,200
htmnpo_athene_s2,ronpo_s2_ckpt1400,88,0.3806818181818182,0.6193181818181819,0.07954545454545454,0.8132954545454545,0.2865635888501742,0.4615789473684211,200
htmnpo_athene_s2,ronpo_s2_ckpt2457,89,0.38764044943820225,0.6123595505617978,0.12359550561797752,0.8213483146067415,0.29455232909860857,0.4879553930005738,200
htmnpo_skywork_s2,htmnpo_armo_s2,87,0.5459770114942529,0.45402298850574707,0.1724137931034483,0.8172413793103448,0.44316549111807735,0.6398617511520737,200
htmnpo_skywork_s2,htmnpo_athene_s2,91,0.6153846153846154,0.3846153846153846,0.13186813186813187,0.8073626373626374,0.5237519201228878,0.7010885182408796,200
htmnpo_skywork_s2,ronpo_s2_ckpt1400,91,0.4835164835164835,0.5164835164835164,0.08791208791208792,0.8232967032967033,0.3954526578073089,0.5806451612903226,200
htmnpo_skywork_s2,ronpo_s2_ckpt2457,94,0.44148936170212766,0.5585106382978724,0.1595744680851064,0.8177659574468085,0.35396634615384615,0.5341032901833873,200
ronpo_s2_ckpt1400,ronpo_s2_ckpt2457,89,0.48314606741573035,0.5168539325842696,0.5168539325842697,0.8769662921348315,0.40695857558139537,0.5525120070778564,200
