custom_id,prompt_id,left_model,right_model,model_a,model_b,order,input_tokens_est
ronpo-s2-gpt55|05e5f307495f6715983c51e245696b0c15358f33|baseline|htmnpo_skywork_s2|flip,05e5f307495f6715983c51e245696b0c15358f33,baseline,htmnpo_skywork_s2,htmnpo_skywork_s2,baseline,flip,247.0
ronpo-s2-gpt55|05e5f307495f6715983c51e245696b0c15358f33|baseline|htmnpo_athene_s2|flip,05e5f307495f6715983c51e245696b0c15358f33,baseline,htmnpo_athene_s2,htmnpo_athene_s2,baseline,flip,246.5
ronpo-s2-gpt55|05e5f307495f6715983c51e245696b0c15358f33|baseline|htmnpo_armo_s2|flip,05e5f307495f6715983c51e245696b0c15358f33,baseline,htmnpo_armo_s2,htmnpo_armo_s2,baseline,flip,246.5
ronpo-s2-gpt55|05e5f307495f6715983c51e245696b0c15358f33|baseline|ronpo_s2_ckpt1400|keep,05e5f307495f6715983c51e245696b0c15358f33,baseline,ronpo_s2_ckpt1400,baseline,ronpo_s2_ckpt1400,keep,246.5
ronpo-s2-gpt55|05e5f307495f6715983c51e245696b0c15358f33|baseline|ronpo_s2_ckpt2457|flip,05e5f307495f6715983c51e245696b0c15358f33,baseline,ronpo_s2_ckpt2457,ronpo_s2_ckpt2457,baseline,flip,246.5
ronpo-s2-gpt55|05e5f307495f6715983c51e245696b0c15358f33|htmnpo_skywork_s2|htmnpo_athene_s2|flip,05e5f307495f6715983c51e245696b0c15358f33,htmnpo_skywork_s2,htmnpo_athene_s2,htmnpo_athene_s2,htmnpo_skywork_s2,flip,275.0
ronpo-s2-gpt55|05e5f307495f6715983c51e245696b0c15358f33|htmnpo_skywork_s2|htmnpo_armo_s2|flip,05e5f307495f6715983c51e245696b0c15358f33,htmnpo_skywork_s2,htmnpo_armo_s2,htmnpo_armo_s2,htmnpo_skywork_s2,flip,275.0
ronpo-s2-gpt55|05e5f307495f6715983c51e245696b0c15358f33|htmnpo_skywork_s2|ronpo_s2_ckpt1400|flip,05e5f307495f6715983c51e245696b0c15358f33,htmnpo_skywork_s2,ronpo_s2_ckpt1400,ronpo_s2_ckpt1400,htmnpo_skywork_s2,flip,275.0
ronpo-s2-gpt55|05e5f307495f6715983c51e245696b0c15358f33|htmnpo_skywork_s2|ronpo_s2_ckpt2457|flip,05e5f307495f6715983c51e245696b0c15358f33,htmnpo_skywork_s2,ronpo_s2_ckpt2457,ronpo_s2_ckpt2457,htmnpo_skywork_s2,flip,275.0
ronpo-s2-gpt55|05e5f307495f6715983c51e245696b0c15358f33|htmnpo_athene_s2|htmnpo_armo_s2|flip,05e5f307495f6715983c51e245696b0c15358f33,htmnpo_athene_s2,htmnpo_armo_s2,htmnpo_armo_s2,htmnpo_athene_s2,flip,274.5
ronpo-s2-gpt55|05e5f307495f6715983c51e245696b0c15358f33|htmnpo_athene_s2|ronpo_s2_ckpt1400|flip,05e5f307495f6715983c51e245696b0c15358f33,htmnpo_athene_s2,ronpo_s2_ckpt1400,ronpo_s2_ckpt1400,htmnpo_athene_s2,flip,274.5
ronpo-s2-gpt55|05e5f307495f6715983c51e245696b0c15358f33|htmnpo_athene_s2|ronpo_s2_ckpt2457|flip,05e5f307495f6715983c51e245696b0c15358f33,htmnpo_athene_s2,ronpo_s2_ckpt2457,ronpo_s2_ckpt2457,htmnpo_athene_s2,flip,274.5
ronpo-s2-gpt55|05e5f307495f6715983c51e245696b0c15358f33|htmnpo_armo_s2|ronpo_s2_ckpt1400|flip,05e5f307495f6715983c51e245696b0c15358f33,htmnpo_armo_s2,ronpo_s2_ckpt1400,ronpo_s2_ckpt1400,htmnpo_armo_s2,flip,274.5
ronpo-s2-gpt55|05e5f307495f6715983c51e245696b0c15358f33|htmnpo_armo_s2|ronpo_s2_ckpt2457|flip,05e5f307495f6715983c51e245696b0c15358f33,htmnpo_armo_s2,ronpo_s2_ckpt2457,ronpo_s2_ckpt2457,htmnpo_armo_s2,flip,274.5
ronpo-s2-gpt55|05e5f307495f6715983c51e245696b0c15358f33|ronpo_s2_ckpt1400|ronpo_s2_ckpt2457|flip,05e5f307495f6715983c51e245696b0c15358f33,ronpo_s2_ckpt1400,ronpo_s2_ckpt2457,ronpo_s2_ckpt2457,ronpo_s2_ckpt1400,flip,274.5
ronpo-s2-gpt55|6a783004db185d09998eca994ba0a606107398f9|baseline|htmnpo_skywork_s2|keep,6a783004db185d09998eca994ba0a606107398f9,baseline,htmnpo_skywork_s2,baseline,htmnpo_skywork_s2,keep,696.5
ronpo-s2-gpt55|6a783004db185d09998eca994ba0a606107398f9|baseline|htmnpo_athene_s2|keep,6a783004db185d09998eca994ba0a606107398f9,baseline,htmnpo_athene_s2,baseline,htmnpo_athene_s2,keep,605.5
ronpo-s2-gpt55|6a783004db185d09998eca994ba0a606107398f9|baseline|htmnpo_armo_s2|flip,6a783004db185d09998eca994ba0a606107398f9,baseline,htmnpo_armo_s2,htmnpo_armo_s2,baseline,flip,723.0
ronpo-s2-gpt55|6a783004db185d09998eca994ba0a606107398f9|baseline|ronpo_s2_ckpt1400|flip,6a783004db185d09998eca994ba0a606107398f9,baseline,ronpo_s2_ckpt1400,ronpo_s2_ckpt1400,baseline,flip,739.8
ronpo-s2-gpt55|6a783004db185d09998eca994ba0a606107398f9|baseline|ronpo_s2_ckpt2457|flip,6a783004db185d09998eca994ba0a606107398f9,baseline,ronpo_s2_ckpt2457,ronpo_s2_ckpt2457,baseline,flip,612.8
ronpo-s2-gpt55|6a783004db185d09998eca994ba0a606107398f9|htmnpo_skywork_s2|htmnpo_athene_s2|flip,6a783004db185d09998eca994ba0a606107398f9,htmnpo_skywork_s2,htmnpo_athene_s2,htmnpo_athene_s2,htmnpo_skywork_s2,flip,701.0
ronpo-s2-gpt55|6a783004db185d09998eca994ba0a606107398f9|htmnpo_skywork_s2|htmnpo_armo_s2|keep,6a783004db185d09998eca994ba0a606107398f9,htmnpo_skywork_s2,htmnpo_armo_s2,htmnpo_skywork_s2,htmnpo_armo_s2,keep,818.5
