subset,model,metric,estimate,ci_low,ci_high,n,bootstrap_iterations
full,baseline,avg_norm,0.48516428547718776,0.460706189920972,0.5114124303691931,647,2000
full,baseline,worst_norm,0.40993087805152667,0.3810166147756227,0.4402788952233581,647,2000
full,htmnpo_skywork_s2,avg_norm,0.5020170253755222,0.4774716947665894,0.5251720234454418,647,2000
full,htmnpo_skywork_s2,worst_norm,0.4735407625641232,0.44564350937425606,0.4997856271603165,647,2000
full,htmnpo_skywork_s2,avg_wr_vs_base,0.5229263266357548,0.4902112313240598,0.5538446676970634,647,2000
full,htmnpo_skywork_s2,worst_wr_vs_base,0.4752704791344668,0.43585780525502316,0.5108191653786708,647,2000
full,htmnpo_athene_s2,avg_norm,0.38814856812762333,0.36466369504665047,0.41254672372272844,647,2000
full,htmnpo_athene_s2,worst_norm,0.337151096919333,0.31132432972956636,0.3645383235633568,647,2000
full,htmnpo_athene_s2,avg_wr_vs_base,0.43843379701184954,0.40853297269448735,0.47038253477588865,647,2000
full,htmnpo_athene_s2,worst_wr_vs_base,0.3802163833075734,0.3454404945904173,0.41576506955177744,647,2000
full,htmnpo_armo_s2,avg_norm,0.41480118292421153,0.3936720228057909,0.43839704461390083,647,2000
full,htmnpo_armo_s2,worst_norm,0.3701568602735198,0.3451494862727423,0.3960914848074125,647,2000
full,htmnpo_armo_s2,avg_wr_vs_base,0.45363214837712523,0.4242658423493045,0.48583204533745494,647,2000
full,htmnpo_armo_s2,worst_wr_vs_base,0.3786707882534776,0.34234930448222567,0.4188562596599691,647,2000
full,ronpo_s2_ckpt1400,avg_norm,0.6827230832099868,0.6605938437145183,0.7040735696712414,647,2000
full,ronpo_s2_ckpt1400,worst_norm,0.6568961445114809,0.6309282103015386,0.6819040709181601,647,2000
full,ronpo_s2_ckpt1400,avg_wr_vs_base,0.646573930963421,0.6156491499227202,0.6759402369912416,647,2000
full,ronpo_s2_ckpt1400,worst_wr_vs_base,0.6035548686244204,0.5656877897990726,0.6406684698608964,647,2000
full,ronpo_s2_ckpt2457,avg_norm,0.7025254156849554,0.6813765571245193,0.7243313994646235,647,2000
full,ronpo_s2_ckpt2457,worst_norm,0.6700873273921496,0.6438956819337667,0.6960551491667404,647,2000
full,ronpo_s2_ckpt2457,avg_wr_vs_base,0.6604842864502833,0.6313755795981453,0.6895929933024214,647,2000
full,ronpo_s2_ckpt2457,worst_wr_vs_base,0.6004636785162287,0.5618238021638331,0.6398956723338484,647,2000
disagreement_top25,baseline,avg_norm,0.5246183137140351,0.48236435610792927,0.5676632592918269,162,2000
disagreement_top25,baseline,worst_norm,0.3787927406021665,0.3172178628308618,0.43709795649756394,162,2000
disagreement_top25,htmnpo_skywork_s2,avg_norm,0.4956172547711137,0.452036332332424,0.5366209138126969,162,2000
disagreement_top25,htmnpo_skywork_s2,worst_norm,0.45497176077631074,0.3932096914878615,0.4984977989050632,162,2000
disagreement_top25,htmnpo_skywork_s2,avg_wr_vs_base,0.4794238683127572,0.4259002057613169,0.529835390946502,162,2000
disagreement_top25,htmnpo_skywork_s2,worst_wr_vs_base,0.345679012345679,0.2716049382716049,0.41975308641975306,162,2000
disagreement_top25,htmnpo_athene_s2,avg_norm,0.4328936581842176,0.3921141235683113,0.4770093191857766,162,2000
disagreement_top25,htmnpo_athene_s2,worst_norm,0.33924227062930457,0.28362945351420343,0.39617406130982485,162,2000
disagreement_top25,htmnpo_athene_s2,avg_wr_vs_base,0.4279835390946502,0.3816872427983539,0.4753086419753086,162,2000
disagreement_top25,htmnpo_athene_s2,worst_wr_vs_base,0.33024691358024694,0.25617283950617287,0.3858796296296292,162,2000
disagreement_top25,htmnpo_armo_s2,avg_norm,0.4813721183135899,0.4417318171079859,0.5211811974449646,162,2000
disagreement_top25,htmnpo_armo_s2,worst_norm,0.4112876361532065,0.35772894541963307,0.45672737972301813,162,2000
disagreement_top25,htmnpo_armo_s2,avg_wr_vs_base,0.46810699588477367,0.41972736625514406,0.5174897119341564,162,2000
disagreement_top25,htmnpo_armo_s2,worst_wr_vs_base,0.36419753086419754,0.2931327160493828,0.41975308641975306,162,2000
disagreement_top25,ronpo_s2_ckpt1400,avg_norm,0.5694203634696415,0.5300032553264766,0.6087009905286146,162,2000
disagreement_top25,ronpo_s2_ckpt1400,worst_norm,0.5487473683709081,0.4872832232582094,0.5861769464872238,162,2000
disagreement_top25,ronpo_s2_ckpt1400,avg_wr_vs_base,0.5339506172839507,0.4845679012345679,0.5833590534979423,162,2000
disagreement_top25,ronpo_s2_ckpt1400,worst_wr_vs_base,0.45987654320987653,0.38580246913580246,0.5277777777777778,162,2000
disagreement_top25,ronpo_s2_ckpt2457,avg_norm,0.6017616688803078,0.5625989431125386,0.6402803499409617,162,2000
disagreement_top25,ronpo_s2_ckpt2457,worst_norm,0.5732518649634964,0.5175976041669381,0.6166302526092741,162,2000
disagreement_top25,ronpo_s2_ckpt2457,avg_wr_vs_base,0.5761316872427983,0.5267489711934157,0.6265432098765432,162,2000
disagreement_top25,ronpo_s2_ckpt2457,worst_wr_vs_base,0.48148148148148145,0.4104938271604938,0.558641975308642,162,2000
