subset,left_model,right_model,metric,estimate,ci_low,ci_high,n,bootstrap_iterations
full,ronpo_s2_ckpt2457,baseline,avg_pairwise_wr,0.6604842864502833,0.6313755795981453,0.6895929933024214,647,2000
full,ronpo_s2_ckpt2457,baseline,worst_pairwise_wr,0.6004636785162287,0.5618238021638331,0.6398956723338484,647,2000
full,ronpo_s2_ckpt2457,htmnpo_skywork_s2,avg_pairwise_wr,0.6795466254507986,0.6504314786192683,0.7081401339515714,647,2000
full,ronpo_s2_ckpt2457,htmnpo_skywork_s2,worst_pairwise_wr,0.6375579598145286,0.6012171561051005,0.6738794435857806,647,2000
full,ronpo_s2_ckpt2457,htmnpo_athene_s2,avg_pairwise_wr,0.7287480680061824,0.7011849562081401,0.7555383822771766,647,2000
full,ronpo_s2_ckpt2457,htmnpo_athene_s2,worst_pairwise_wr,0.6476043276661515,0.6105100463678517,0.6823802163833076,647,2000
full,ronpo_s2_ckpt2457,htmnpo_armo_s2,avg_pairwise_wr,0.7189592993302422,0.6908809891808346,0.7465224111282843,647,2000
full,ronpo_s2_ckpt2457,htmnpo_armo_s2,worst_pairwise_wr,0.642967542503864,0.6058732612055642,0.6808346213292118,647,2000
full,ronpo_s2_ckpt2457,ronpo_s2_ckpt1400,avg_pairwise_wr,0.5193199381761978,0.490726429675425,0.5479134466769706,647,2000
full,ronpo_s2_ckpt2457,ronpo_s2_ckpt1400,worst_pairwise_wr,0.5069551777434312,0.46986089644513135,0.535548686244204,647,2000
disagreement_top25,ronpo_s2_ckpt2457,baseline,avg_pairwise_wr,0.5761316872427983,0.5267489711934157,0.6265432098765432,162,2000
disagreement_top25,ronpo_s2_ckpt2457,baseline,worst_pairwise_wr,0.48148148148148145,0.4104938271604938,0.558641975308642,162,2000
disagreement_top25,ronpo_s2_ckpt2457,htmnpo_skywork_s2,avg_pairwise_wr,0.5853909465020576,0.5390946502057613,0.6347736625514403,162,2000
disagreement_top25,ronpo_s2_ckpt2457,htmnpo_skywork_s2,worst_pairwise_wr,0.49074074074074076,0.4166666666666667,0.5679012345679012,162,2000
disagreement_top25,ronpo_s2_ckpt2457,htmnpo_athene_s2,avg_pairwise_wr,0.6039094650205761,0.5555555555555556,0.6502057613168725,162,2000
disagreement_top25,ronpo_s2_ckpt2457,htmnpo_athene_s2,worst_pairwise_wr,0.4722222222222222,0.3950617283950617,0.5462962962962963,162,2000
disagreement_top25,ronpo_s2_ckpt2457,htmnpo_armo_s2,avg_pairwise_wr,0.6100823045267489,0.5668467078189301,0.6543209876543209,162,2000
disagreement_top25,ronpo_s2_ckpt2457,htmnpo_armo_s2,worst_pairwise_wr,0.49382716049382713,0.4228395061728395,0.5709876543209876,162,2000
disagreement_top25,ronpo_s2_ckpt2457,ronpo_s2_ckpt1400,avg_pairwise_wr,0.5339506172839507,0.4835390946502058,0.5802469135802469,162,2000
disagreement_top25,ronpo_s2_ckpt2457,ronpo_s2_ckpt1400,worst_pairwise_wr,0.5061728395061729,0.4382716049382716,0.558641975308642,162,2000
