model,objective,n,mean_prompt_norm_score,mean_raw_score,win_rate_vs_baseline
baseline,skywork,647,0.40993087805152667,4.919699242899923,nan
baseline,athene,647,0.48357532013336996,-1.1838211932174942,nan
baseline,armo,647,0.5619866582466666,0.11608275895509322,nan
htmnpo_skywork_s2,skywork,647,0.5171697136368734,6.663665346974015,0.5857805255023184
htmnpo_skywork_s2,athene,647,0.4735407625641232,-1.1917052939649344,0.5077279752704791
htmnpo_skywork_s2,armo,647,0.5153405999255699,0.11499124848308298,0.4752704791344668
htmnpo_athene_s2,skywork,647,0.4450636330722989,5.132236297937596,0.5231839258114374
htmnpo_athene_s2,athene,647,0.337151096919333,-1.4915240138907337,0.41190108191653785
htmnpo_athene_s2,armo,647,0.382230974391238,0.1056900142333607,0.3802163833075734
htmnpo_armo_s2,skywork,647,0.4734912995921437,5.684147311509853,0.5510046367851623
htmnpo_armo_s2,athene,647,0.3701568602735198,-1.4071117560314432,0.4312210200927357
htmnpo_armo_s2,armo,647,0.4007553889069711,0.10769593770942511,0.3786707882534776
ronpo_s2_ckpt1400,skywork,647,0.6568961445114809,9.151303416610316,0.6731066460587326
ronpo_s2_ckpt1400,athene,647,0.7096060265052828,-0.6212063071532449,0.6630602782071098
ronpo_s2_ckpt1400,armo,647,0.6816670786131965,0.12460159702684263,0.6035548686244204
ronpo_s2_ckpt2457,skywork,647,0.6700873273921496,9.182027778448608,0.6885625965996909
ronpo_s2_ckpt2457,athene,647,0.7269337355948731,-0.5885715248780051,0.6924265842349304
ronpo_s2_ckpt2457,armo,647,0.7105551840678438,0.12591598133399645,0.6004636785162287
