protocol,objective,n,directional_accuracy_clear,directional_accuracy_natural,directional_accuracy_degradation,identical_confident_tie_accuracy,position_bias,position_bias_identical_only,confident_pair_swap_consistency,split_half_pearson,split_half_spearman,mean_abs_delta,mean_tie_probability,mean_normalized_entropy,unresolved_uncertainty_rate,adjudicated_rate
P0,helpfulness,200,0.926667,0.890000,1.000000,1.000000,-0.019167,0.000000,0.952381,0.985782,0.984144,0.349583,0.260833,0.000000,0.000000,0.000000
P0,honesty,200,0.526667,0.720000,0.140000,1.000000,-0.254167,0.000000,0.563910,0.888474,0.838365,0.201250,0.317500,0.000000,0.000000,0.000000
P0,instruction_following,200,0.893333,0.880000,0.920000,1.000000,-0.095000,0.000000,0.830769,0.948243,0.948396,0.284167,0.345000,0.000000,0.000000,0.000000
P0,truthfulness,200,0.713333,0.890000,0.360000,1.000000,-0.161667,0.000000,0.704000,0.880498,0.859020,0.225000,0.376667,0.000000,0.000000,0.000000
P1,helpfulness,200,0.946667,0.920000,1.000000,1.000000,-0.026305,0.000019,0.936620,0.980051,0.962842,0.322430,0.256876,0.086855,0.000000,0.000000
P1,honesty,200,0.540000,0.810000,0.000000,1.000000,-0.289369,-0.000372,0.530435,0.872254,0.870110,0.171889,0.309013,0.212316,0.000000,0.000000
P1,instruction_following,200,0.920000,0.880000,1.000000,1.000000,-0.123065,-0.001223,0.745455,0.939788,0.940631,0.225703,0.338649,0.199808,0.000000,0.000000
P1,truthfulness,200,0.653333,0.860000,0.240000,1.000000,-0.144727,0.000510,0.747664,0.909809,0.881594,0.200094,0.381268,0.213554,0.000000,0.000000
P2,helpfulness,200,0.946667,0.920000,1.000000,1.000000,0.012500,0.000000,0.972973,0.977213,0.979166,0.356250,0.257667,0.000000,0.000000,0.000000
P2,honesty,200,0.833333,0.750000,1.000000,1.000000,0.013333,0.006667,0.927007,0.935740,0.933772,0.318333,0.278250,0.000000,0.000000,0.000000
P2,instruction_following,199,0.899329,0.848485,1.000000,1.000000,0.061558,-0.006667,0.917241,0.958105,0.955989,0.324330,0.276717,0.000000,0.000000,0.000000
P2,truthfulness,193,0.909091,0.881720,0.960000,1.000000,-0.008636,0.000000,0.891473,0.896033,0.889808,0.300950,0.305181,0.000000,0.000000,0.000000
