protocol,objective,n,directional_accuracy_clear,directional_accuracy_natural,directional_accuracy_degradation,identical_confident_tie_accuracy,position_bias,position_bias_identical_only,confident_pair_swap_consistency,split_half_pearson,split_half_spearman,mean_abs_delta,mean_tie_probability,mean_normalized_entropy,unresolved_uncertainty_rate,adjudicated_rate
P0,helpfulness,200,0.893333,0.850000,0.980000,1.000000,-0.025000,0.000000,0.938776,,,0.347500,0.260000,0.000000,0.000000,0.000000
P0,honesty,200,0.460000,0.660000,0.060000,1.000000,-0.275000,0.000000,0.548387,,,0.197500,0.325000,0.000000,0.000000,0.000000
P0,instruction_following,200,0.806667,0.830000,0.760000,1.000000,-0.095000,0.000000,0.862069,,,0.285000,0.350000,0.000000,0.000000,0.000000
P0,truthfulness,200,0.573333,0.750000,0.220000,1.000000,-0.215000,0.000000,0.637931,,,0.207500,0.375000,0.000000,0.000000,0.000000
P1,helpfulness,200,0.940000,0.910000,1.000000,1.000000,-0.020694,0.000031,0.936170,0.697927,0.630435,0.324021,0.258200,0.091088,0.070000,0.115000
P1,honesty,200,0.540000,0.800000,0.020000,1.000000,-0.230036,-0.000763,0.608000,0.753183,0.756165,0.192902,0.303027,0.215626,0.340000,0.385000
P1,instruction_following,200,0.906667,0.880000,0.960000,1.000000,-0.094217,-0.000344,0.800000,0.862622,0.859488,0.231150,0.347408,0.216074,0.275000,0.340000
P1,truthfulness,200,0.686667,0.860000,0.340000,1.000000,-0.115698,0.001495,0.768519,0.735213,0.751059,0.205472,0.391543,0.226290,0.200000,0.280000
P2,helpfulness,199,0.953020,0.929293,1.000000,1.000000,0.013819,0.000000,0.993007,0.667124,0.680414,0.361181,0.260469,0.000000,0.030151,0.050251
P2,honesty,192,0.852113,0.771739,1.000000,1.000000,0.028646,0.000000,0.960938,0.312425,0.326227,0.329427,0.296007,0.000000,0.067708,0.109375
P2,instruction_following,193,0.902098,0.849462,1.000000,1.000000,0.034974,0.000000,0.953125,0.639311,0.653582,0.332254,0.288860,0.000000,0.103627,0.129534
P2,truthfulness,170,0.858333,0.847222,0.875000,1.000000,-0.004412,0.000000,0.952830,0.634042,0.642235,0.305147,0.346569,0.000000,0.076471,0.123529
