method_id,method_label,dataset,test_hash,protocol_id,judge_id,n_prompts,n_seeds,seed_ids,status,uncertainty_type,if_mean,if_ci_low,if_ci_high,truth_mean,truth_ci_low,truth_ci_high,honesty_mean,honesty_ci_low,honesty_ci_high,help_mean,help_ci_low,help_ci_high
base,Base,UF-4,351f0076c030ac45,"reference point for every axis: win rates are measured against this policy's cached responses, so it sits at 0.5 by definition and is not judged against itself",local Qwen3-14B rev 40c06982,1345,1,n/a,reference_not_plotted,,,,,,,,,,,,,
btrm_mse_s42,BT-RM--Nash (seed 42),UF-4,351f0076c030ac45,"order-averaged win rate vs the fixed base response, ties 0.5",local Qwen3-14B rev 40c06982,1345,1,42,reported,"2000 whole-prompt paired bootstrap; prompt variability only, never pooled with seed spread",0.5165,0.5000,0.5331,0.5130,0.4976,0.5277,0.5113,0.4929,0.5286,0.5435,0.5284,0.5580
btrm_mse_s43,BT-RM--Nash (seed 43),UF-4,351f0076c030ac45,"order-averaged win rate vs the fixed base response, ties 0.5",local Qwen3-14B rev 40c06982,1345,1,43,reported,"2000 whole-prompt paired bootstrap; prompt variability only, never pooled with seed spread",0.4920,0.4747,0.5087,0.5119,0.4970,0.5270,0.4970,0.4784,0.5154,0.5515,0.5362,0.5665
btrm_mse_s44,BT-RM--Nash (seed 44),UF-4,351f0076c030ac45,"order-averaged win rate vs the fixed base response, ties 0.5",local Qwen3-14B rev 40c06982,1345,1,44,reported,"2000 whole-prompt paired bootstrap; prompt variability only, never pooled with seed spread",0.5080,0.4916,0.5257,0.5173,0.5030,0.5323,0.5056,0.4875,0.5242,0.5494,0.5348,0.5654
fixedref_mse_s42,Fixed-reference Nash (seed 42),UF-4,351f0076c030ac45,"order-averaged win rate vs the fixed base response, ties 0.5",local Qwen3-14B rev 40c06982,1345,1,42,reported,"2000 whole-prompt paired bootstrap; prompt variability only, never pooled with seed spread",0.5175,0.5009,0.5344,0.5136,0.4989,0.5286,0.5037,0.4853,0.5223,0.5476,0.5323,0.5632
fixedref_mse_s43,Fixed-reference Nash (seed 43),UF-4,351f0076c030ac45,"order-averaged win rate vs the fixed base response, ties 0.5",local Qwen3-14B rev 40c06982,1345,1,43,reported,"2000 whole-prompt paired bootstrap; prompt variability only, never pooled with seed spread",0.5093,0.4931,0.5257,0.5156,0.5011,0.5310,0.4972,0.4784,0.5151,0.5507,0.5359,0.5660
fixedref_mse_s44,Fixed-reference Nash (seed 44),UF-4,351f0076c030ac45,"order-averaged win rate vs the fixed base response, ties 0.5",local Qwen3-14B rev 40c06982,1345,1,44,reported,"2000 whole-prompt paired bootstrap; prompt variability only, never pooled with seed spread",0.5097,0.4933,0.5273,0.5139,0.4994,0.5290,0.4970,0.4788,0.5156,0.5504,0.5353,0.5662
maxmin_mse_s42,Global game-maxmin (seed 42),UF-4,351f0076c030ac45,"order-averaged win rate vs the fixed base response, ties 0.5",local Qwen3-14B rev 40c06982,1345,1,42,reported,"2000 whole-prompt paired bootstrap; prompt variability only, never pooled with seed spread",0.5288,0.5121,0.5452,0.5264,0.5121,0.5409,0.5054,0.4868,0.5223,0.5578,0.5431,0.5730
maxmin_mse_s43,Global game-maxmin (seed 43),UF-4,351f0076c030ac45,"order-averaged win rate vs the fixed base response, ties 0.5",local Qwen3-14B rev 40c06982,1345,1,43,reported,"2000 whole-prompt paired bootstrap; prompt variability only, never pooled with seed spread",0.4970,0.4803,0.5139,0.5065,0.4913,0.5217,0.4914,0.4734,0.5104,0.5413,0.5247,0.5567
maxmin_mse_s44,Global game-maxmin (seed 44),UF-4,351f0076c030ac45,"order-averaged win rate vs the fixed base response, ties 0.5",local Qwen3-14B rev 40c06982,1345,1,44,reported,"2000 whole-prompt paired bootstrap; prompt variability only, never pooled with seed spread",0.5160,0.4996,0.5320,0.5126,0.4981,0.5281,0.4874,0.4697,0.5059,0.5539,0.5387,0.5682
nbpo_mse_s42,NBPO (seed 42),UF-4,351f0076c030ac45,"order-averaged win rate vs the fixed base response, ties 0.5",local Qwen3-14B rev 40c06982,1345,1,42,reported,"2000 whole-prompt paired bootstrap; prompt variability only, never pooled with seed spread",0.5204,0.5039,0.5368,0.5106,0.4959,0.5255,0.5022,0.4836,0.5201,0.5569,0.5422,0.5723
nbpo_mse_s43,NBPO (seed 43),UF-4,351f0076c030ac45,"order-averaged win rate vs the fixed base response, ties 0.5",local Qwen3-14B rev 40c06982,1345,1,43,reported,"2000 whole-prompt paired bootstrap; prompt variability only, never pooled with seed spread",0.5033,0.4870,0.5205,0.5149,0.4996,0.5297,0.4965,0.4773,0.5139,0.5468,0.5312,0.5615
