alpha,method,n,wall_clock_mean_s,wall_clock_max_s,peak_rss_mb_max,outer_iterations_mean
0.0,reference,5,0.0,0.0,479.859375,
0.0,exact_global_nash,5,1.374610424041748,2.3013863563537598,479.859375,
0.0,exact_proximal_nash,5,3.1117225170135496,3.805523157119751,479.859375,
0.0,nbpo_direct,5,4.718955039978027,6.3825743198394775,479.859375,39.6
0.0,nbpo_rstep_legacy,5,3.480924940109253,3.4981164932250977,479.859375,1500.0
0.0,fixed_reference_nash,5,0.020087575912475585,0.0220029354095459,479.859375,30.8
0.0,bt_rm_nash,5,0.02241339683532715,0.024761438369750977,479.859375,36.0
0.0,game_utilitarian,5,0.21297755241394042,0.41158270835876465,479.859375,
0.0,game_ks,5,69.640988779068,82.98874115943909,479.859375,
0.0,bt_rm_utilitarian,5,0.0009484291076660156,0.0009541511535644531,479.859375,
0.25,reference,5,0.0,0.0,479.859375,
0.25,exact_global_nash,5,0.8090126991271973,0.8504619598388672,479.859375,
0.25,exact_proximal_nash,5,2.82953519821167,3.370314836502075,479.859375,
0.25,nbpo_direct,5,5.413169527053833,7.287492752075195,479.859375,53.8
0.25,nbpo_rstep_legacy,5,3.4776525020599367,3.4896345138549805,479.859375,1500.0
0.25,fixed_reference_nash,5,0.021516942977905275,0.024352312088012695,479.859375,33.2
0.25,bt_rm_nash,5,0.02071681022644043,0.021294832229614258,479.859375,33.0
0.25,game_utilitarian,5,0.1494804859161377,0.169508695602417,479.859375,
0.25,game_ks,5,67.96675534248352,71.77582716941833,479.859375,
0.25,bt_rm_utilitarian,5,0.000958108901977539,0.0010004043579101562,479.859375,
0.5,reference,5,0.0,0.0,481.359375,
0.5,exact_global_nash,5,0.5137534141540527,0.5450048446655273,481.359375,
0.5,exact_proximal_nash,5,3.4939887523651123,4.374186277389526,481.359375,
0.5,nbpo_direct,5,4.888468837738037,6.379566669464111,481.359375,74.2
0.5,nbpo_rstep_legacy,5,3.4697514533996583,3.4810502529144287,481.359375,1500.0
0.5,fixed_reference_nash,5,0.027802038192749023,0.04353451728820801,481.359375,44.0
0.5,bt_rm_nash,5,0.020350551605224608,0.024697303771972656,481.359375,32.4
0.5,game_utilitarian,5,0.12714262008666993,0.15134286880493164,481.359375,
0.5,game_ks,5,54.52367668151855,58.0059916973114,481.359375,
0.5,bt_rm_utilitarian,5,0.0009474277496337891,0.0009548664093017578,481.359375,
0.75,reference,5,0.0,0.0,481.359375,
0.75,exact_global_nash,5,0.370225715637207,0.4911043643951416,481.359375,
0.75,exact_proximal_nash,5,2.252617073059082,2.4325623512268066,481.359375,
0.75,nbpo_direct,5,3.2271199226379395,4.366806745529175,481.359375,60.2
0.75,nbpo_rstep_legacy,5,3.47546763420105,3.4905550479888916,481.359375,1500.0
0.75,fixed_reference_nash,5,0.023485946655273437,0.02603292465209961,481.359375,36.6
0.75,bt_rm_nash,5,0.01770024299621582,0.018471717834472656,481.359375,27.4
0.75,game_utilitarian,5,0.12779464721679687,0.23797225952148438,481.359375,
0.75,game_ks,5,52.42524027824402,55.02175259590149,481.359375,
0.75,bt_rm_utilitarian,5,0.0009566783905029297,0.0009944438934326172,481.359375,
1.0,reference,5,0.0,0.0,481.359375,
1.0,exact_global_nash,5,0.2992278575897217,0.35253405570983887,481.359375,
1.0,exact_proximal_nash,5,2.6113365650177003,4.224304676055908,481.359375,
1.0,nbpo_direct,5,3.669227933883667,5.167606353759766,481.359375,70.6
1.0,nbpo_rstep_legacy,5,3.481604051589966,3.5029678344726562,481.359375,1500.0
1.0,fixed_reference_nash,5,0.022684144973754882,0.02496337890625,481.359375,35.2
1.0,bt_rm_nash,5,0.016890573501586913,0.017322778701782227,481.359375,26.4
1.0,game_utilitarian,5,0.14288945198059083,0.24744892120361328,481.359375,
1.0,game_ks,5,47.14199719429016,49.625768423080444,481.359375,
1.0,bt_rm_utilitarian,5,0.0009488582611083985,0.0009586811065673828,481.359375,
