alpha,method,n,wall_clock_mean_s,wall_clock_max_s,peak_rss_mb_max,outer_iterations_mean
0.0,reference,5,0.0,0.0,474.9453125,
0.0,exact_global_nash,5,1.603847074508667,2.2412471771240234,474.9453125,
0.0,exact_proximal_nash,5,2.9170767784118654,3.2986626625061035,474.9453125,
0.0,nbpo_direct,5,3.4752137660980225,5.384431838989258,474.9453125,36.4
0.0,nbpo_rstep_legacy,5,3.5008524894714355,3.5346455574035645,474.9453125,1500.0
0.0,fixed_reference_nash,5,0.02389531135559082,0.03684854507446289,474.9453125,36.8
0.0,bt_rm_nash,5,0.023241853713989256,0.033136844635009766,474.9453125,37.2
0.0,game_utilitarian,5,0.2272792339324951,0.2921621799468994,474.9453125,
0.0,game_ks,5,60.98262228965759,67.39296269416809,474.9453125,
0.0,bt_rm_utilitarian,5,0.00096435546875,0.0009860992431640625,474.9453125,
0.25,reference,5,0.0,0.0,474.9453125,
0.25,exact_global_nash,5,1.261866521835327,1.6940486431121826,474.9453125,
0.25,exact_proximal_nash,5,3.384579610824585,3.9819812774658203,474.9453125,
0.25,nbpo_direct,5,6.747978162765503,7.2539472579956055,474.9453125,50.4
0.25,nbpo_rstep_legacy,5,3.501900815963745,3.517767906188965,474.9453125,1500.0
0.25,fixed_reference_nash,5,0.02422223091125488,0.03702712059020996,474.9453125,37.6
0.25,bt_rm_nash,5,0.020187997817993165,0.02250957489013672,474.9453125,32.0
0.25,game_utilitarian,5,0.16685338020324708,0.22133803367614746,474.9453125,
0.25,game_ks,5,57.300443506240846,64.94305753707886,474.9453125,
0.25,bt_rm_utilitarian,5,0.0009592056274414062,0.0009882450103759766,474.9453125,
0.5,reference,5,0.0,0.0,474.9453125,
0.5,exact_global_nash,5,1.3326038360595702,1.6271898746490479,474.9453125,
0.5,exact_proximal_nash,5,3.505784273147583,4.1358044147491455,474.9453125,
0.5,nbpo_direct,5,7.2741588115692135,8.477136373519897,474.9453125,56.4
0.5,nbpo_rstep_legacy,5,3.528942680358887,3.6650798320770264,474.9453125,1500.0
0.5,fixed_reference_nash,5,0.0234555721282959,0.03678297996520996,474.9453125,36.0
0.5,bt_rm_nash,5,0.020560264587402344,0.021878719329833984,474.9453125,32.4
0.5,game_utilitarian,5,0.1764167308807373,0.19493889808654785,474.9453125,
0.5,game_ks,5,59.05367646217346,67.65580034255981,474.9453125,
0.5,bt_rm_utilitarian,5,0.0009783267974853515,0.001039266586303711,474.9453125,
0.75,reference,5,0.0,0.0,474.9453125,
0.75,exact_global_nash,5,0.7102056026458741,0.9789078235626221,474.9453125,
0.75,exact_proximal_nash,5,3.95870304107666,4.331756591796875,474.9453125,
0.75,nbpo_direct,5,7.082691192626953,8.956958055496216,474.9453125,59.0
0.75,nbpo_rstep_legacy,5,3.569386196136475,3.6302711963653564,474.9453125,1500.0
0.75,fixed_reference_nash,5,0.025121498107910156,0.03835415840148926,474.9453125,37.2
0.75,bt_rm_nash,5,0.021182823181152343,0.023406505584716797,474.9453125,32.8
0.75,game_utilitarian,5,0.15642991065979003,0.20530438423156738,474.9453125,
0.75,game_ks,5,63.058262777328494,67.65366625785828,474.9453125,
0.75,bt_rm_utilitarian,5,0.0009635448455810547,0.000980377197265625,474.9453125,
1.0,reference,5,0.0,0.0,474.9453125,
1.0,exact_global_nash,5,0.6092786312103271,0.8762989044189453,474.9453125,
1.0,exact_proximal_nash,5,2.8890124320983888,3.06025767326355,474.9453125,
1.0,nbpo_direct,5,7.534431743621826,12.588988542556763,474.9453125,61.0
1.0,nbpo_rstep_legacy,5,3.566062879562378,3.6569790840148926,474.9453125,1500.0
1.0,fixed_reference_nash,5,0.023523426055908202,0.03589129447937012,474.9453125,36.0
1.0,bt_rm_nash,5,0.020774650573730468,0.023079872131347656,474.9453125,32.8
1.0,game_utilitarian,5,0.17875475883483888,0.22059392929077148,474.9453125,
1.0,game_ks,5,68.88395252227784,75.16036939620972,474.9453125,
1.0,bt_rm_utilitarian,5,0.0009712696075439454,0.0009865760803222656,474.9453125,
