alpha,method,n,wall_clock_mean_s,wall_clock_max_s,peak_rss_mb_max,outer_iterations_mean
0.0,reference,3,0.0,0.0,477.41015625,
0.0,exact_global_nash,3,1.7797668774922688,2.048734188079834,477.41015625,
0.0,exact_proximal_nash,3,2.866364081700643,2.995316743850708,477.41015625,
0.0,nbpo_direct,3,4.79145876566569,5.1615471839904785,477.41015625,37.0
0.0,nbpo_rstep_legacy,3,3.480678160985311,3.502951145172119,477.41015625,1500.0
0.0,fixed_reference_nash,3,0.026040156682332356,0.03667712211608887,477.41015625,41.0
0.0,bt_rm_nash,3,0.024796247482299805,0.03250837326049805,477.41015625,40.333333333333336
0.0,game_utilitarian,3,0.16751710573832193,0.18342304229736328,477.41015625,
0.0,game_ks,3,60.36838022867838,64.08330464363098,477.41015625,
0.0,bt_rm_utilitarian,3,0.0009406407674153646,0.0009524822235107422,477.41015625,
0.25,reference,3,0.0,0.0,477.41015625,
0.25,exact_global_nash,3,1.1863428751627605,1.3711280822753906,477.41015625,
0.25,exact_proximal_nash,3,3.0933591524759927,3.4738175868988037,477.41015625,
0.25,nbpo_direct,3,7.962733268737793,8.23682975769043,477.41015625,50.666666666666664
0.25,nbpo_rstep_legacy,3,3.5240240891774497,3.615036964416504,477.41015625,1500.0
0.25,fixed_reference_nash,3,0.027443567911783855,0.03834891319274902,477.41015625,42.333333333333336
0.25,bt_rm_nash,3,0.020618756612141926,0.02352452278137207,477.41015625,32.333333333333336
0.25,game_utilitarian,3,0.15427112579345703,0.18715929985046387,477.41015625,
0.25,game_ks,3,59.261894941329956,72.02435946464539,477.41015625,
0.25,bt_rm_utilitarian,3,0.0009628136952718099,0.0009794235229492188,477.41015625,
0.5,reference,3,0.0,0.0,477.41015625,
0.5,exact_global_nash,3,1.5114901860555012,2.481217861175537,477.41015625,
0.5,exact_proximal_nash,3,3.1122623284657798,3.3562734127044678,477.41015625,
0.5,nbpo_direct,3,9.053683757781982,11.646444082260132,477.41015625,60.333333333333336
0.5,nbpo_rstep_legacy,3,3.5393239657084146,3.6256155967712402,477.41015625,1500.0
0.5,fixed_reference_nash,3,0.025872151056925457,0.038217782974243164,477.41015625,39.666666666666664
0.5,bt_rm_nash,3,0.02050916353861491,0.022573471069335938,477.41015625,32.333333333333336
0.5,game_utilitarian,3,0.21227471033732095,0.21959972381591797,477.41015625,
0.5,game_ks,3,56.816400130589805,59.87904930114746,477.41015625,
0.5,bt_rm_utilitarian,3,0.0009506543477376302,0.0009560585021972656,477.41015625,
0.75,reference,3,0.0,0.0,477.41015625,
0.75,exact_global_nash,3,1.0271549224853516,1.4527466297149658,477.41015625,
0.75,exact_proximal_nash,3,3.077632268269857,3.16422700881958,477.41015625,
0.75,nbpo_direct,3,9.955241123835245,12.041613340377808,477.41015625,65.0
0.75,nbpo_rstep_legacy,3,3.528399626413981,3.6172549724578857,477.41015625,1500.0
0.75,fixed_reference_nash,3,0.02692389488220215,0.03659796714782715,477.41015625,41.666666666666664
0.75,bt_rm_nash,3,0.021011193593343098,0.02323150634765625,477.41015625,33.0
0.75,game_utilitarian,3,0.17893584569295248,0.22875499725341797,477.41015625,
0.75,game_ks,3,59.36372256278992,61.96402668952942,477.41015625,
0.75,bt_rm_utilitarian,3,0.0009525616963704427,0.0009620189666748047,477.41015625,
1.0,reference,3,0.0,0.0,477.41015625,
1.0,exact_global_nash,3,0.7489778995513916,0.894411563873291,477.41015625,
1.0,exact_proximal_nash,3,3.66996177037557,4.1176369190216064,477.41015625,
1.0,nbpo_direct,3,7.951390186945598,10.87643051147461,477.41015625,56.0
1.0,nbpo_rstep_legacy,3,3.5329835414886475,3.619542360305786,477.41015625,1500.0
1.0,fixed_reference_nash,3,0.0260317325592041,0.03754925727844238,477.41015625,39.666666666666664
1.0,bt_rm_nash,3,0.02113652229309082,0.02440333366394043,477.41015625,32.666666666666664
1.0,game_utilitarian,3,0.17018278439839682,0.1844632625579834,477.41015625,
1.0,game_ks,3,64.03374433517456,67.51819324493408,477.41015625,
1.0,bt_rm_utilitarian,3,0.0009709199269612631,0.0010209083557128906,477.41015625,
