alpha,method,n_seeds,n_converged,n_used,expected_non_convergent,bt_deviance,rho_star,min_surplus_mean,min_surplus_std,normalized_min_surplus_mean,normalized_min_surplus_std,avg_surplus_mean,nash_welfare_mean,exploitability_mean,kl_from_reference_mean,raw_multiplier_l1_mean,tv_to_exact_proximal_mean,tv_to_exact_global_mean,max_projected_kkt,max_inner_fixed_point
0.0,reference,3,3,3,False,0.00010016075873873114,0.0347348826592365,0.0,0.0,0.0,0.0,0.0,,0.038814331411580104,0.0,,0.6483001783432544,0.7983333333293414,,
0.0,exact_global_nash,3,3,3,False,0.00010016075873873114,0.0347348826592365,0.03359652684802728,0.0024450794551582077,0.9669741232585194,0.005688838341368548,0.035364266311123396,-13.377203399733544,0.07483081732802878,1.6041664816100372,,0.1880665400939033,0.0,,
0.0,exact_proximal_nash,3,3,3,False,0.00010016075873873114,0.0347348826592365,0.03209020128280082,0.0021958920798997657,0.9237929713545526,0.002673529662283442,0.0332391909883678,-13.62408137838839,0.07260041130152053,1.115997012319672,,0.0,0.1880665400939033,,
0.0,nbpo_direct,3,3,3,False,0.00010016075873873114,0.0347348826592365,0.03209020135198915,0.002195892063894743,0.9237929733723557,0.0026735293671350923,0.033239190952019465,-13.624081383347297,0.07260041126428786,1.1159970073607448,120.82031877952244,4.3751621489730424e-08,0.1880665422846427,0.0,2.78432832345743e-12
0.0,nbpo_rstep_legacy,3,0,3,True,0.00010016075873873114,0.0347348826592365,0.031218816669100383,0.002291271699205218,0.8985134366163678,0.006265958793341995,0.03228522328891795,-13.74153184302389,0.07160967135157191,1.0110691752142278,100.30183904477566,0.03970951267080312,0.22726601282962858,0.008936366714216604,5.292797311540198e-10
0.0,fixed_reference_nash,3,3,3,False,0.00010016075873873114,0.0347348826592365,0.03209308800894036,0.0021963577543893695,0.923875728575552,0.0026210694664072086,0.033244397991795356,-13.623464420546506,0.07261056652993934,1.1166271085105066,120.74299005915792,0.001330070193225002,0.18778803697463617,0.0,0.0
0.0,bt_rm_nash,3,3,3,False,0.00010016075873873114,0.0347348826592365,0.0320919757451195,0.002197731867551085,0.9238418839822181,0.002583191480083681,0.03324406867857809,-13.623511052900106,0.07260960788501246,1.116580624313163,29.999653854424626,0.0013686431686912581,0.1877443421667151,0.0,3.3306690738754696e-16
0.0,game_utilitarian,3,3,3,False,0.00010016075873873114,0.0347348826592365,0.03204007446465699,0.002218577774740513,0.9223172665621608,0.003482984297094692,0.03325147575500288,-13.622862479934716,0.07261419789331534,1.1173559498170966,120.82031877952244,0.004311891495349807,0.18717610418261513,,1.741450461612004e-08
0.0,game_ks,3,3,3,False,0.00010016075873873114,0.0347348826592365,0.03197608510605888,0.0020673759551666027,0.9206686042064679,0.007207043119847151,0.033201327555436616,-13.629591869659675,0.07258111241758373,1.1145913602110091,120.82031877952244,0.02424646764571248,0.18913544406784322,,2.6237060468670137e-08
0.0,bt_rm_utilitarian,3,3,3,False,0.00010016075873873114,0.0347348826592365,0.032041394155349325,0.0022210312875519085,0.9223522361939,0.0034161089288552832,0.03325633430814427,-13.62229673102721,0.07262333050955587,1.1179519349526708,29.999653854424626,0.004851903066734494,0.18685807556240996,,0.7979661460646195
0.25,reference,3,3,3,False,0.009987182067582258,0.034382926528076944,0.0,0.0,0.0,0.0,0.0,,0.03881433141158011,0.0,,0.6466191946089175,0.7750776941591501,,
0.25,exact_global_nash,3,3,3,False,0.009987182067582258,0.034382926528076944,0.03334115611253769,0.0024286049073886876,0.969422977511685,0.006369977312507311,0.0349975668432097,-13.417903431622184,0.0809893396708585,1.5330399737014755,,0.16134096977144952,0.0,,
0.25,exact_proximal_nash,3,3,3,False,0.009987182067582258,0.034382926528076944,0.03198150078953506,0.002110726989659941,0.9301661835730073,0.0004114746048966479,0.03310302489207462,-13.640414716621665,0.0744005020736726,1.1104369568010808,,0.0,0.16134096977144952,,
0.25,nbpo_direct,3,3,3,False,0.009987182067582258,0.034382926528076944,0.03198150092517655,0.0021107272991967197,0.9301661871385773,0.00041147057814169895,0.03310302519482614,-13.640414681563193,0.07440050215790545,1.1104369918595312,121.31202312281808,4.5408440350474374e-08,0.16134095943645713,2.5579538487363607e-13,2.5813934045881837e-09
0.25,nbpo_rstep_legacy,3,0,3,True,0.009987182067582258,0.034382926528076944,0.03112849414295925,0.0022170849255096874,0.9051521427359247,0.004425881707685451,0.03217097880893007,-13.755647769927569,0.07331482796524726,1.0076410535418587,100.45213697719619,0.03779268598660492,0.1986758755563808,0.008941864735923843,4.566859864607586e-06
0.25,fixed_reference_nash,3,3,3,False,0.009987182067582258,0.034382926528076944,0.031972570355193915,0.002168055458285578,0.929832569796769,0.0021307486900564152,0.033130574793838206,-13.63731622115663,0.0757486686226959,1.1166271085105068,120.74299005915792,0.01689392159653398,0.15739069175872977,0.0,0.0
0.25,bt_rm_nash,3,3,3,False,0.009987182067582258,0.034382926528076944,0.03197120629855482,0.002169208819280267,0.9297913577114979,0.002099192714454445,0.033130039535967486,-13.637387032192015,0.07575426334935399,1.116580624313163,29.999653854424626,0.016953881093956017,0.15733953072713916,0.0,3.3306690738754696e-16
0.25,game_utilitarian,3,3,3,False,0.009987182067582258,0.034382926528076944,0.03193821713667546,0.0021263439601718285,0.9288836851408923,0.0007534909523112468,0.03311357731556785,-13.639366254836416,0.07445410168461443,1.1116057233413474,121.31202312281808,0.0038176353258491274,0.16093010810892094,,2.7369424837608847e-08
0.25,game_ks,3,3,3,False,0.009987182067582258,0.034382926528076944,0.03180770998121527,0.002042298956831382,0.9251916505621091,0.0072438038680728845,0.03308267743915462,-13.643944546942317,0.07462038226258703,1.1106964477191663,121.3120231228181,0.02156526172179395,0.16261894760311835,,2.86340431920884e-08
