alpha,method,n,min_surplus_mean,min_surplus_std,avg_surplus_mean,nash_welfare_mean,kl_from_reference_mean,exploitability_mean,weight_l1_mean,target_log_ratio_l2_mean,fixed_point_residual_max,tv_to_exact_A_mean,tv_to_exact_B_mean,rho_star_mean,min_surplus_over_rho_star_mean
0.0,A_exact_global_nash,5,0.1006748307112949,0.014268199076841858,0.11208581709985706,-8.777710546000337,1.3274422355920623,0.32762615358039354,,280.8422162392159,,0.0,0.15653544208070805,0.11096557482438577,0.9072618320647912
0.0,B_exact_proximal_nash,5,0.09707260153974835,0.011838906451683869,0.10694463088370003,-8.963997201250304,0.9385713206062425,0.32297901649334926,,61.5592241471276,,0.15653544208070805,0.0,0.11096557482438577,0.87479924916692
0.0,C_practical,5,0.09706971842075177,0.011841410559029718,0.10694409699587397,-8.964025219158195,0.9385433064056601,0.32297854595575515,37.8266026261622,61.55343783919996,6.265417906714532e-08,0.15654710036610647,1.3945708478505484e-05,0.11096557482438577,0.8747732670639016
0.0,C2_exact_inner_solve,5,0.09040933601198173,0.014297726149937767,0.10444699234086263,-9.07548259994952,0.8465664641793735,0.32100048650159335,29.615776691103427,46.67156323864554,3.244755042430825e-08,0.19464609435525151,0.04138795023654936,0.11096557482438577,0.8147512068951441
0.0,D_matched_step,5,0.09700490223992166,0.01188477909536655,0.10663254991567972,-8.975539350179023,0.9273343560538747,0.32271345272050145,36.6179036150309,59.363321048443915,0.08313806733677853,0.1607047996637871,0.0049625601076166165,0.11096557482438577,0.8741891563526952
0.0,fixed_reference_native,5,0.09407438809820158,0.013108817462836458,0.10617507285435808,-8.998871673763196,0.9513954005952143,0.3275256424497,36.6179036150309,63.51353911517525,0.0,0.16454365989674508,0.07188375736613652,0.11096557482438577,0.8477799375804956
0.0,bt_rm_nash,5,0.0946955044418453,0.014178411624685914,0.10621716710009288,-9.00018160247915,0.9607520746059526,0.3260305664999172,6.05590517732594,63.51607908086449,0.0,0.16637745547910027,0.07997688941847596,0.11096557482438577,0.8533773162686762
0.0,reference,5,0.0,0.0,0.0,,0.0,0.2426488361953639,,0.0,,0.7283351905127835,0.5921026487333743,0.11096557482438577,0.0
0.25,A_exact_global_nash,5,0.06818893941523868,0.00457468051574202,0.07666949316789266,-10.298091936558915,1.1531849981483255,0.28778715774740443,,263.1159918308219,,0.0,0.12782910264051497,0.0755187712709275,0.9029402659453678
0.25,B_exact_proximal_nash,5,0.06592560476327372,0.004910979303829568,0.07373395000585331,-10.45005466409329,0.8313223671879904,0.2713783646514629,,59.94824334635498,,0.12782910264051497,0.0,0.0755187712709275,0.8729697749816691
0.25,C_practical,5,0.056676774702655794,0.006335519972123712,0.0723526039897467,-10.572252076224823,0.884357443061295,0.27422425818355095,55.377775668453395,61.32405538167357,0.9693150405782575,0.17326502834275925,0.07014102317174188,0.0755187712709275,0.7504991639671272
0.25,C2_exact_inner_solve,5,0.0587297226331933,0.0069116641649414,0.07037505666882372,-10.662219814625741,0.6794450520267782,0.262441225339959,34.13466845160109,35.43830152396741,9.97629561183544e-08,0.1920099717186373,0.06788551904165854,0.0755187712709275,0.777683768483168
0.25,D_matched_step,5,0.0661464966126951,0.006907090613692872,0.0733696835516497,-10.469586445650855,0.8618767084033797,0.27348034726366466,47.69774894898735,52.296085355221976,0.8406886408342906,0.12091574059388348,0.049772679438480044,0.0755187712709275,0.8758947676120302
0.25,fixed_reference_native,5,0.06444361488643534,0.006245723883454328,0.07383958037920761,-10.455807208874852,0.9563114768127411,0.2854015751296168,47.69774894898735,63.10063703747602,0.0,0.12945983892873375,0.11061923087070821,0.0755187712709275,0.8533456490604241
0.25,bt_rm_nash,5,0.06409327166516068,0.006978454296108007,0.07390402124673864,-10.456918852064002,0.962151058684326,0.28520573669614013,9.75585169953055,63.16284063718926,0.0,0.1285566082699969,0.11522129534598982,0.0755187712709275,0.8487064949086995
0.25,reference,5,0.0,0.0,0.0,,0.0,0.18321136006169308,,0.0,,0.6619916825841393,0.547225253626092,0.0755187712709275,0.0
0.5,A_exact_global_nash,5,0.03130441093253817,0.0016467619058988057,0.03604925803105988,-13.320260568159075,0.6101347601204995,0.22277200993926774,,184.36037456109312,,0.0,0.04930121057207539,0.03542834469447781,0.8835978988715656
0.5,B_exact_proximal_nash,5,0.03121846901093537,0.0015610010647032384,0.03547959795505636,-13.378972705680567,0.48938683474494643,0.21102367345480427,,51.00871585272032,,0.04930121057207539,0.0,0.03542834469447781,0.8811721033018337
0.5,C_practical,5,-0.06025442415218842,0.013916578456723923,-0.013778752084582055,,1.2644732403357064,0.2839803308899097,170.32176075306464,193.09681104264965,0.9999999999998777,0.5375056780955151,0.5476739430838756,0.03542834469447781,-1.7007405982921984
0.5,C2_exact_inner_solve,5,0.025899146336005284,0.0017881042112866047,0.03287388613019771,-13.723766431560648,0.3226844917420548,0.19273782882970045,39.365068772949904,18.10338633483611,4.932747006414218e-07,0.1245297118186729,0.07685781400925412,0.03542834469447781,0.7310289701466681
0.5,D_matched_step,5,0.0037737804713715768,0.005573100534948505,0.014549899394116989,-17.675997298096725,1.290365945522256,0.30950600865672684,62.66153161171208,90.4053151611188,0.9998231198953224,0.3593745164891092,0.39499041904947096,0.03542834469447781,0.1065186788690072
0.5,fixed_reference_native,5,0.017114416708490073,0.0033498558548062723,0.025395093414417914,-14.918153978528045,0.9522681943764889,0.2884814599599904,62.66153161171208,62.11591993670976,0.0,0.24982748537166657,0.27948863782039846,0.03542834469447781,0.48307130508295193
0.5,bt_rm_nash,5,0.01683042249847027,0.0032502199506304003,0.02526712405283712,-14.94732837743552,0.9540430566063,0.28809205650260133,14.154682811095137,63.53475378046678,0.0,0.2513358199836232,0.2806152108592822,0.03542834469447781,0.47505528817702886
0.5,reference,5,0.0,0.0,0.0,,0.0,0.13376238742359853,,0.0,,0.44235965596894405,0.39602183281126624,0.03542834469447781,0.0
0.75,A_exact_global_nash,5,0.015274857171188644,0.0021019099207370486,0.017261338244174453,-16.270941793217304,0.2170707790966253,0.16055313572010868,,93.49505787028443,,0.0,0.013782048163096139,0.01708764466886458,0.893912383315237
0.75,B_exact_proximal_nash,5,0.015262462729482718,0.0020764091720543313,0.017203217750018727,-16.283109082306414,0.19196368247219542,0.15689683512299268,,41.74521583385638,,0.013782048163096139,0.0,0.01708764466886458,0.8931870380762581
0.75,C_practical,5,-0.11632915484218768,0.008863256492595879,-0.10169029179250826,,1.353805864487801,0.3619168946601377,385.7213366167532,263.52135496934045,1.0,0.6438565287099063,0.6480885053774472,0.01708764466886458,-6.8077934142761745
0.75,C2_exact_inner_solve,5,0.012089189759949498,0.0029769910328366566,0.01637654046298461,-16.54784267793764,0.12148590094939091,0.1451829012943818,41.715019399361466,9.66992120722379,1.3600879201769445e-06,0.05936890090616857,0.04611742518116016,0.01708764466886458,0.7074813407126392
0.75,D_matched_step,5,-0.0814773849986769,0.005979371384059822,-0.07034973358372767,,1.2281911284385938,0.34684135657015436,71.29940449769649,177.08015515449418,0.999999998333878,0.5371733371586543,0.5433859621211922,0.01708764466886458,-4.768204546477781
