prompts,responses,pool_geometry,objectives,workers,measured_pairwise_conflict_rate,total_solve_seconds,dual_evaluations,seconds_per_dual_evaluation,dual_converged,projected_kkt_residual,inverse_surplus_residual,inner_extra_map_residual,inner_fixed_point_residual,target_identity_residual,weight_l1,min_surplus,peak_rss_mb,tensor_mb,artifact_write_seconds,artifact_bytes
200,4,4+4,2,1,0.25,7.551388263702393,31,0.24359316979685136,True,3.019806626980426e-14,3.061439990403869e-14,2.8675062324623468e-11,9.729467231878175e-10,7.771561172376096e-16,14.602492252892327,0.13634829537828588,467.3359375,0.0512,0.014385223388671875,69393
200,4,4+4,2,32,0.25,1.4530246257781982,31,0.04687176212187736,True,3.019806626980426e-14,3.061439990403869e-14,2.8675062324623468e-11,9.729467231878175e-10,7.771561172376096e-16,14.602492252892327,0.13634829537828588,467.3359375,0.0512,0.014449834823608398,69394
200,4,4+4,2,96,0.25,1.6356229782104492,31,0.05276203155517578,True,3.019806626980426e-14,3.061439990403869e-14,2.8675062324623468e-11,9.729467231878175e-10,7.771561172376096e-16,14.602492252892327,0.13634829537828588,467.3359375,0.0512,0.015084028244018555,69394
200,8,8+8,2,1,0.2596428571428571,10.00437593460083,35,0.2858393124171666,True,3.552713678800501e-15,4.3576253716537394e-15,4.521161223181025e-12,6.01210192741064e-11,1.2212453270876722e-15,12.291151263126952,0.1609549559752509,497.796875,0.2048,0.01724863052368164,124054
200,8,8+8,2,32,0.2596428571428571,1.7296407222747803,35,0.049418306350708006,True,3.552713678800501e-15,4.3576253716537394e-15,4.521161223181025e-12,6.01210192741064e-11,1.2212453270876722e-15,12.291151263126952,0.1609549559752509,497.796875,0.2048,0.01766824722290039,124055
200,8,8+8,2,96,0.2596428571428571,1.9322543144226074,35,0.05520726612636021,True,3.552713678800501e-15,4.3576253716537394e-15,4.521161223181025e-12,6.01210192741064e-11,1.2212453270876722e-15,12.291151263126952,0.1609549559752509,497.796875,0.2048,0.018756866455078125,124055
200,16,16+16,2,1,0.24279166666666666,10.676138401031494,32,0.3336293250322342,True,1.9539925233402755e-14,1.9068080447937064e-14,1.2861656184526282e-11,3.7424829901766543e-10,9.43689570931383e-16,11.042605918233065,0.18043072053738685,499.296875,0.8192,0.019163846969604492,233323
200,16,16+16,2,32,0.24279166666666666,1.7755515575408936,32,0.055485986173152924,True,1.9539925233402755e-14,1.9068080447937064e-14,1.2861656184526282e-11,3.7424829901766543e-10,9.43689570931383e-16,11.042605918233065,0.18043072053738685,499.296875,0.8192,0.024875164031982422,233324
200,16,16+16,2,96,0.24279166666666666,1.918151617050171,32,0.05994223803281784,True,1.9539925233402755e-14,1.9068080447937064e-14,1.2861656184526282e-11,3.7424829901766543e-10,9.43689570931383e-16,11.042605918233065,0.18043072053738685,499.296875,0.8192,0.02429652214050293,233324
1000,4,4+4,2,1,0.24766666666666667,41.61439275741577,33,1.2610422047701748,True,7.105427357601002e-15,7.271960811294775e-15,1.9963142250389865e-11,1.5558268007254128e-09,8.881784197001252e-16,14.570356419181604,0.13641148807736952,499.296875,0.256,0.022421598434448242,287863
1000,4,4+4,2,32,0.24766666666666667,5.3935747146606445,33,0.16344165802001953,True,7.105427357601002e-15,7.271960811294775e-15,1.9963142250389865e-11,1.5558268007254128e-09,8.881784197001252e-16,14.570356419181604,0.13641148807736952,499.296875,0.256,0.026183605194091797,287864
1000,4,4+4,2,96,0.24766666666666667,4.358997821807861,33,0.1320908430850867,True,7.105427357601002e-15,7.271960811294775e-15,1.9963142250389865e-11,1.5558268007254128e-09,8.881784197001252e-16,14.570356419181604,0.13641148807736952,499.296875,0.256,0.027118921279907227,287864
1000,8,8+8,2,1,0.24260714285714285,41.97323274612427,26,1.6143551056201642,True,3.552713678800501e-15,2.942091015256665e-15,5.500599975505338e-12,1.2500879411486698e-10,1.2212453270876722e-15,12.013355323953594,0.16623734274519253,503.03515625,1.024,0.03637242317199707,560950
1000,8,8+8,2,32,0.24260714285714285,4.052298069000244,26,0.15585761803847092,True,3.552713678800501e-15,2.942091015256665e-15,5.500599975505338e-12,1.2500879411486698e-10,1.2212453270876722e-15,12.013355323953594,0.16623734274519253,504.30859375,1.024,0.0386044979095459,560951
1000,8,8+8,2,96,0.24260714285714285,3.179946184158325,26,0.1223056224676279,True,3.552713678800501e-15,2.942091015256665e-15,5.500599975505338e-12,1.2500879411486698e-10,1.2212453270876722e-15,12.013355323953594,0.16623734274519253,504.30859375,1.024,0.03765273094177246,560951
1000,16,16+16,2,1,0.24715833333333334,69.16072583198547,37,1.8692088062698777,True,2.877698079828406e-13,2.8785307470968746e-13,9.770817488430339e-11,8.021646680234085e-10,9.43689570931383e-16,11.212252744560782,0.17745836459071718,521.65234375,4.096,0.06605291366577148,1107194
1000,16,16+16,2,32,0.24715833333333334,5.614792823791504,37,0.15175115739977038,True,2.877698079828406e-13,2.8785307470968746e-13,9.770817488430339e-11,8.021646680234085e-10,9.43689570931383e-16,11.212252744560782,0.17745836459071718,526.828125,4.096,0.060509681701660156,1107195
1000,16,16+16,2,96,0.24715833333333334,4.395545959472656,37,0.11879853944520692,True,2.877698079828406e-13,2.8785307470968746e-13,9.770817488430339e-11,8.021646680234085e-10,9.43689570931383e-16,11.212252744560782,0.17745836459071718,533.5390625,4.096,0.06993460655212402,1107195
7000,4,4+4,2,32,0.24633333333333332,15.229886054992676,28,0.5439245019640241,True,7.338964991276953e-10,7.33897026483632e-10,3.532907300041188e-11,3.069422493950924e-09,8.881784197001252e-16,14.59751781581748,0.1369201919910298,533.5390625,1.792,0.10834407806396484,1926960
7000,4,4+4,2,96,0.24633333333333332,10.612363815307617,28,0.3790129934038435,True,7.338964991276953e-10,7.33897026483632e-10,3.532907300041188e-11,3.069422493950924e-09,8.881784197001252e-16,14.59751781581748,0.1369201919910298,533.5390625,1.792,0.10809135437011719,1926960
7000,8,8+8,2,32,0.24348979591836734,15.422868013381958,27,0.5712173338289614,True,1.7763568394002505e-15,2.192690473634684e-15,2.9472868590119106e-11,7.67682084568122e-10,1.2212453270876722e-15,12.152257593333392,0.16455028991807025,541.6953125,7.168,0.20288562774658203,3839148
7000,8,8+8,2,96,0.24348979591836734,10.903328895568848,27,0.40382699613217954,True,1.7763568394002505e-15,2.192690473634684e-15,2.9472868590119106e-11,7.67682084568122e-10,1.2212453270876722e-15,12.152257593333392,0.16455028991807025,543.640625,7.168,0.2168135643005371,3839148
7000,16,16+16,2,32,0.24377857142857143,22.09123420715332,30,0.7363744735717773,True,1.2434497875801753e-14,1.1712852909795402e-14,7.139588920068718e-11,5.560539251270313e-10,1.27675647831893e-15,11.20585191363561,0.17843531459746192,601.6796875,28.672,0.3872973918914795,7662480
7000,16,16+16,2,96,0.24377857142857143,15.253134965896606,30,0.5084378321965536,True,1.2434497875801753e-14,1.1712852909795402e-14,7.139588920068718e-11,5.560539251270313e-10,1.27675647831893e-15,11.20585191363561,0.17843531459746192,632.61328125,28.672,0.3909118175506592,7662480
