method,label,objective,n_seeds,complete,mean,std
base,Base ($\pi_\mathrm{ref}$),instruction_following,0,False,,
base,Base ($\pi_\mathrm{ref}$),truthfulness,0,False,,
base,Base ($\pi_\mathrm{ref}$),honesty,0,False,,
base,Base ($\pi_\mathrm{ref}$),helpfulness,0,False,,
nbpo,NBPO,instruction_following,0,False,,
nbpo,NBPO,truthfulness,0,False,,
nbpo,NBPO,honesty,0,False,,
nbpo,NBPO,helpfulness,0,False,,
fixed-reference-nash,Fixed-reference Nash,instruction_following,0,False,,
fixed-reference-nash,Fixed-reference Nash,truthfulness,0,False,,
fixed-reference-nash,Fixed-reference Nash,honesty,0,False,,
fixed-reference-nash,Fixed-reference Nash,helpfulness,0,False,,
bt-rm-nash,BT-RM-Nash,instruction_following,0,False,,
bt-rm-nash,BT-RM-Nash,truthfulness,0,False,,
bt-rm-nash,BT-RM-Nash,honesty,0,False,,
bt-rm-nash,BT-RM-Nash,helpfulness,0,False,,
game-utilitarian,Game-utilitarian,instruction_following,0,False,,
game-utilitarian,Game-utilitarian,truthfulness,0,False,,
game-utilitarian,Game-utilitarian,honesty,0,False,,
game-utilitarian,Game-utilitarian,helpfulness,0,False,,
game-ks,Game-KS,instruction_following,0,False,,
game-ks,Game-KS,truthfulness,0,False,,
game-ks,Game-KS,honesty,0,False,,
game-ks,Game-KS,helpfulness,0,False,,
bt-rm-utilitarian,BT-RM-utilitarian,instruction_following,0,False,,
bt-rm-utilitarian,BT-RM-utilitarian,truthfulness,0,False,,
bt-rm-utilitarian,BT-RM-utilitarian,honesty,0,False,,
bt-rm-utilitarian,BT-RM-utilitarian,helpfulness,0,False,,
prosper,PROSPER / MaxEntBW,instruction_following,0,False,,
prosper,PROSPER / MaxEntBW,truthfulness,0,False,,
prosper,PROSPER / MaxEntBW,honesty,0,False,,
prosper,PROSPER / MaxEntBW,helpfulness,0,False,,
mopo,MOPO,instruction_following,0,False,,
mopo,MOPO,truthfulness,0,False,,
mopo,MOPO,honesty,0,False,,
mopo,MOPO,helpfulness,0,False,,
raco,RACO,instruction_following,0,False,,
raco,RACO,truthfulness,0,False,,
raco,RACO,honesty,0,False,,
raco,RACO,helpfulness,0,False,,
