seed,method,worst_case,robust_gap,avg_ref,decoy_mass,entropy,kl_to_ref,adversary_entropy,objective2_adversary_mass,robust_opt_value
0,RONPO,0.2880738378984683,0.005899984213336151,0.5331709305917297,0.34037595867270615,1.3864971357761648,0.6929444059036713,1.5694329139674932,0.4356295395478924,0.29397382211180445
0,RONPO-fixed-sigma,0.23135269752965562,0.06262112458214883,0.5339781325230372,0.17244416655959588,1.7781190302644734,0.3013225114153625,3.1780538303479453,0.3333333333333333,0.29397382211180445
1,RONPO,0.28818439191804573,0.03018465530277964,0.5353336503089224,0.3404815944510144,1.385417909718992,0.6940236319608435,1.5667957120650131,0.43557419276671483,0.3183690472208254
1,RONPO-fixed-sigma,0.237934661011732,0.08043438620909338,0.5349482470216774,0.16953210502552868,1.7757480151132632,0.30369352656657234,3.1780538303479453,0.3333333333333333,0.3183690472208254
2,RONPO,0.28788141899178565,0.03724331634853878,0.5288059453569406,0.34020210666874906,1.3886570319805136,0.6907845096993225,1.57668489301126,0.4357154899931649,0.32512473534032443
2,RONPO-fixed-sigma,0.2191234631032695,0.10600127223705494,0.5324404798657906,0.1761838671435476,1.787417316115874,0.29202422556396157,3.1780538303479453,0.3333333333333333,0.32512473534032443
3,RONPO,0.2878965321256255,0.01709779427273761,0.5287413350064663,0.3402175188068385,1.388727219600707,0.6907143220791285,1.5782919508472295,0.43569943601624705,0.3049943263983631
3,RONPO-fixed-sigma,0.21911021872046088,0.08588410767790222,0.5324472989212865,0.17612422399347685,1.7876195207698515,0.29182202090998377,3.1780538303479453,0.3333333333333333,0.3049943263983631
4,RONPO,0.2880826626576196,0.02626830428200666,0.5330594546120632,0.3403581266710806,1.3867829902575677,0.6926585514222683,1.570495307504843,0.43562453277382696,0.3143509669396263
4,RONPO-fixed-sigma,0.2320125307512812,0.08233843618834508,0.5328406867173788,0.17465990975216794,1.7881006520004439,0.2913408896793921,3.1780538303479453,0.3333333333333333,0.3143509669396263
5,RONPO,0.2880172939783189,0.0136918196929674,0.5308988997361727,0.3403607874819953,1.38743494001377,0.6920066016660658,1.575897607457926,0.43563911846643955,0.3017091136712863
5,RONPO-fixed-sigma,0.22487052377587768,0.0768385898954086,0.5331513813487532,0.1738931241345112,1.7862866145043075,0.29315492717552816,3.1780538303479453,0.3333333333333333,0.3017091136712863
6,RONPO,0.28793779105914735,0.006103390218055449,0.5289011738367172,0.340288194809407,1.388083738490884,0.6913578031889518,1.5787620294683578,0.43565636494586,0.2940411812772028
6,RONPO-fixed-sigma,0.21750180452754628,0.07653937674965652,0.5356404500115728,0.1688810862444422,1.7657514972683988,0.31369004441143644,3.1780538303479453,0.3333333333333333,0.2940411812772028
7,RONPO,0.2878496890460545,0.018611779513319993,0.5265437964668142,0.34017264361086297,1.389341474471963,0.6901000672078731,1.5822798966670504,0.4356962699592727,0.3064614685593745
7,RONPO-fixed-sigma,0.21354349783822113,0.09291797072115338,0.5325460145629458,0.17700195344703645,1.7806740115467798,0.2987675301330559,3.1780538303479453,0.3333333333333333,0.3064614685593745
8,RONPO,0.2879875605006032,0.009916107741040403,0.5315218290568107,0.34028310830465086,1.387195784742417,0.6922457569374187,1.5723063601922704,0.43564981934331126,0.2979036682416436
8,RONPO-fixed-sigma,0.2180684489932449,0.0798352192483987,0.5471223052070585,0.1475320760563409,1.6712645816455538,0.4081769600342818,3.1780538303479453,0.3333333333333333,0.2979036682416436
9,RONPO,0.28794566919394876,0.004532434528009499,0.5288340753979691,0.3403039038762297,1.3879909174278047,0.6914506242520309,1.5788039997813705,0.4356507218937455,0.29247810372195826
9,RONPO-fixed-sigma,0.21804030310642697,0.07443780061553129,0.5348435455612899,0.1713060955496786,1.7674323657855902,0.31200917589424554,3.1780538303479453,0.3333333333333333,0.29247810372195826
