decoy_bad,method,n,worst_case_mean,worst_case_se,robust_gap_mean,robust_gap_se,avg_ref_mean,avg_ref_se,decoy_mass_mean,decoy_mass_se,entropy_mean,entropy_se,kl_to_ref_mean,kl_to_ref_se
0.02,SPPO-avg,10,0.02283774978892171,0.00024293733717661102,0.276939069819411,0.003197721371912801,0.5236979106637665,2.5357504273611524e-05,0.9881218575625297,1.0981668673550916e-05,0.07478735361172792,0.0003130556479231999,2.004654188068108,0.0003130556479231757
0.02,INPO-avg,10,0.19975517073053928,0.0021928490077309714,0.10002164887779344,0.0041434861376102574,0.5299282416567769,0.001138144605535197,0.2446920991055553,0.0019638449931568603,1.810870853932391,0.008876484585185283,0.2685706877474447,0.008876484585185283
0.02,MNPO-hist-avg,10,0.2063342745539425,0.00047825345625812583,0.09344254505439022,0.0030876597315706066,0.5122162189154308,0.0005933265924092046,0.14651960512219414,0.00014909829246037302,2.0431866901038127,0.0017451809650186967,0.03625485157602334,0.0017451809650187034
0.02,HT-MNPO-mix,10,0.1984006412835805,0.0023772277317683434,0.10137617832475218,0.004282209095798852,0.5305381952433628,0.0011926482266921788,0.2341807250130123,0.002133769113948467,1.807033645060106,0.009679656090756042,0.27240789661972975,0.009679656090756028
0.02,RONPO,10,0.28088318592149714,3.268059794857729e-05,0.0188936336868356,0.0031133507475428323,0.5275581472051821,0.0008585449464729779,0.3145162110653769,3.3984726173641725e-05,1.4255891010975,0.0003815880694328066,0.6538524405823358,0.00038158806943283164
0.04,SPPO-avg,10,0.040534338009181395,3.884401525156129e-05,0.25763759431618793,0.0035822366611457145,0.5292237548506871,4.711127916903283e-06,0.9975821799574296,2.2632114267267406e-06,0.019299847949495512,4.146987269300602e-05,2.0601416937303405,4.1469872693076006e-05
0.04,INPO-avg,10,0.19918050462560344,0.0020123391980957964,0.09899142769976585,0.0042954614817604965,0.5301091737163833,0.0010958983896841596,0.26752261310300096,0.0019943478456207636,1.8071167814824995,0.008614005372214694,0.27232476019733604,0.00861400537221471
0.04,MNPO-hist-avg,10,0.2082173789724992,0.00047292408182773025,0.08995455335287007,0.0035910831415976443,0.5124053361954838,0.0005881727379686888,0.15155478877587894,0.00015140129615781397,2.0426773663861337,0.0017256466544378383,0.03676417529370226,0.0017256466544378357
0.04,HT-MNPO-mix,10,0.19758933446404436,0.002184085878353668,0.10058259786132498,0.004398933613010993,0.5306377288564968,0.0011495904659529082,0.2570390254302154,0.002181989774991852,1.8049618041002078,0.009405580620381505,0.27447973757962796,0.00940558062038153
0.04,RONPO,10,0.28433025220147434,3.296858464857962e-05,0.013841680123894928,0.003575500379049169,0.5289864632470103,0.0008553272168428796,0.32712260639053203,3.18635838448699e-05,1.406822778017617,0.0003789833162331906,0.6726187636622188,0.00037898331623317897
0.06,SPPO-avg,10,0.0600990644924161,6.324548158653376e-06,0.24484157885582478,0.0035494393420272556,0.535008004017909,8.98983380741313e-07,0.9995115470822273,4.608010770529976e-07,0.004712824188761305,5.710021839696561e-06,2.074728717491075,5.710021839661856e-06
0.06,INPO-avg,10,0.19927604814173433,0.0018308395004681176,0.10566459520650658,0.004120099232686406,0.530591554572537,0.0010521648339316964,0.2915275739713304,0.0020053222434420013,1.7996101821950081,0.00833721998447626,0.27983135948482774,0.008337219984476266
0.06,MNPO-hist-avg,10,0.2102760715873016,0.0004674954364971382,0.09466457176093929,0.0035093311497907415,0.5126644387599291,0.0005829087643508046,0.1567303704510889,0.0001536101377137601,2.041943069933584,0.001705825982089947,0.037498471746251684,0.0017058259820899727
0.06,HT-MNPO-mix,10,0.19746467571896736,0.0019879965827444947,0.10747596762927354,0.004213966510062117,0.5310334465857138,0.0011048873572698048,0.2811878521143963,0.002207097710141756,1.7991463258393836,0.0091150780601709,0.28029521584045225,0.009115078060170909
0.06,RONPO,10,0.28798568473696173,3.314485265035363e-05,0.01695495861127916,0.0035443661032361815,0.5305811090370606,0.0008506999880955617,0.3403043943353535,2.9565900808166743e-05,1.3876129142480784,0.0003747857571832283,0.6918286274317575,0.0003747857571832165
0.1,SPPO-avg,10,0.10000327821323765,1.781422428720723e-07,0.2018303990473438,0.005923994148965158,0.5466666937931058,3.488857050011502e-08,0.9999801314907156,1.8884379176326687e-08,0.0002575560764666359,1.25486880012006e-07,2.079183985603369,1.2548688007938793e-07
0.1,INPO-avg,10,0.20183311797841302,0.001474450525625083,0.10000055928216844,0.0061968320648260284,0.5325765787627971,0.0009598546080818299,0.3427471851727407,0.0019644402775305923,1.7719801627950607,0.007724961952864182,0.3074613788847752,0.007724961952864208
0.1,MNPO-hist-avg,10,0.2149531201791098,0.0004563547876727392,0.08688055708147165,0.00613123682320465,0.5134042449607048,0.000572044500407856,0.1675094405043976,0.00015770989710965855,2.0397520184179148,0.0016653196189820455,0.039689523261921,0.001665319618982031
0.1,HT-MNPO-mix,10,0.19966703437272534,0.0015984363336585513,0.10216664288785611,0.006207603050411118,0.5328396986068188,0.001010046227569599,0.3330169233634732,0.002181009973126468,1.7747236654391163,0.00846541378084136,0.30471787624071955,0.008465413780841383
0.1,RONPO,10,0.2959847370104358,3.312474083820475e-05,0.005848940250145573,0.005938871432841439,0.5343122596616536,0.0008367552923623054,0.36850567247447297,2.466501149985875e-05,1.347880819628291,0.0003615342292427056,0.7315607220515448,0.00036153422924271444
0.2,SPPO-avg,10,0.20000000042422478,3.022469525759567e-11,0.11870727719859983,0.005717440045814846,0.5758333330760252,1.1487270644912078e-11,0.9999999933733527,5.96447765314566e-12,1.406335237529922e-07,2.880031439564726e-11,2.079441401046312,2.880041686986681e-11
0.2,INPO-avg,10,0.22566559250491242,0.0007288158087135295,0.0930416851179122,0.005807119342171413,0.5446032505195861,0.0006994878017481202,0.48434347552691237,0.001518194638528964,1.6188121513696554,0.005735363600685369,0.46062939031018024,0.005735363600685339
0.2,MNPO-hist-avg,10,0.23030930959335558,0.0004270510673732382,0.08839796802946906,0.005627351867090762,0.5166862926484102,0.0005428575112714119,0.1970164119720793,0.00016568996885772937,2.029489027520898,0.0015589340732763144,0.04995251415893827,0.0015589340732763493
0.2,HT-MNPO-mix,10,0.223348683135059,0.0007733430689348122,0.09535859448776561,0.005837490736475126,0.5444941101588412,0.0007384688521133474,0.47735271124444,0.0016925459270815727,1.6268040729837392,0.00629389685271808,0.45263746869609645,0.006293896852718081
0.2,RONPO,10,0.3209501250089818,3.061144688877931e-05,-0.00224284738615711,0.0057081635136358505,0.5473516783523726,0.0007691641727200902,0.4508634058717364,1.6833989548467056e-05,1.241066847062283,0.0003028523634041329,0.8383746946175528,0.00030285236340415095
