kappa,seed,method,worst_case,robust_gap,avg_ref,decoy_mass,entropy,kl_to_ref,adversary_entropy,robust_opt_value
nan,0,SPPO-avg,0.060138144283542895,0.23383567782826156,0.5350071244273672,0.9995118192397685,0.0047151696397795834,2.074726372040057,nan,0.29397382211180445
nan,0,INPO-avg,0.20976186260731233,0.08421195950449212,0.5297847223723099,0.2899150074217744,1.8062397407687247,0.2732018009111111,nan,0.29397382211180445
nan,0,MNPO-hist-avg,0.21250986806307268,0.08146395404873177,0.5123240693801393,0.15663697098352852,2.0429612444212912,0.03648029725854414,nan,0.29397382211180445
nan,0,HT-MNPO-mix,0.20883977955958166,0.08513404255222279,0.5300349749960297,0.27822225930352185,1.8112236263194277,0.26821791536040807,nan,0.29397382211180445
0.005,0,RONPO,0.30299151382389605,-0.009017691712091602,0.5319172374667073,0.3031003858358755,1.3865556148778095,0.6928859268020262,1.081174444358728,0.29397382211180445
0.01,0,RONPO,0.30184118409200306,-0.007867361980198606,0.5319018698217794,0.3058083074654759,1.3875327430519233,0.6919087986279124,1.0877953791128487,0.29397382211180445
0.02,0,RONPO,0.29942371413779484,-0.005449892025990388,0.5322260194652726,0.3140873040428169,1.3809434044975033,0.6984981371823329,1.1529620245012364,0.29397382211180445
0.05,0,RONPO,0.2880738378984683,0.005899984213336151,0.5331709305917297,0.34037595867270615,1.3864971357761648,0.6929444059036713,1.5694329139674932,0.29397382211180445
0.1,0,RONPO,0.27387081865813684,0.02010300345366761,0.532728859394727,0.31486386049844794,1.5478377708833655,0.5316037707964703,2.408133119146152,0.29397382211180445
0.2,0,RONPO,0.2582344824235641,0.035739339688240335,0.5328551177134115,0.2582759076074139,1.7064846797732343,0.37295686190660143,2.9342527466657318,0.29397382211180445
0.5,0,RONPO,0.24349910686582457,0.05047471524597988,0.5334455047444778,0.20683038854222638,1.7720258507634852,0.3074156909163509,3.1364101424395137,0.29397382211180445
1.0,0,RONPO,0.23765903519871037,0.05631478691309408,0.5337088332101189,0.1891341452296352,1.7792770695605769,0.3001644721192587,3.16758843758032,0.29397382211180445
nan,1,SPPO-avg,0.06010560355779079,0.25826344366303455,0.5350079199121142,0.9995114497903016,0.004715645372801645,2.0747258963070347,nan,0.3183690472208254
nan,1,INPO-avg,0.2043607141126152,0.11400833310821018,0.5311731528382854,0.29217458005699815,1.7966692354333589,0.2827723062464766,nan,0.3183690472208254
nan,1,MNPO-hist-avg,0.21302977420096997,0.1053392730198554,0.513126830871618,0.15682059321603228,2.0407910809402137,0.03865046073962192,nan,0.3183690472208254
nan,1,HT-MNPO-mix,0.20264351652261223,0.11572553069821315,0.5313513733334722,0.28090357447584136,1.7999601367088902,0.27948140497094526,nan,0.3183690472208254
0.005,1,RONPO,0.3029902331575677,0.015378814063257695,0.5342414988974437,0.3031031851628145,1.3865574194821182,0.6928841221977179,1.0811752990822328,0.3183690472208254
0.01,1,RONPO,0.3018404496113323,0.0165285976094931,0.5342135419991633,0.305809890340994,1.387533828200691,0.6919077134791444,1.0877949232401984,0.3183690472208254
0.02,1,RONPO,0.29942363048939735,0.018945416731428022,0.5345212234916432,0.3140875444311761,1.3809433753843865,0.6984981662954494,1.1529554954511692,0.3183690472208254
0.05,1,RONPO,0.28818439191804573,0.03018465530277964,0.5353336503089224,0.3404815944510144,1.385417909718992,0.6940236319608435,1.5667957120650131,0.3183690472208254
0.1,1,RONPO,0.2752499374682658,0.04311910975255956,0.5346067406421285,0.31562369845145133,1.5392067681363117,0.5402347735435241,2.403636840234218,0.3183690472208254
0.2,1,RONPO,0.2619244014791378,0.05644464574168756,0.5344647939245699,0.25896083119510294,1.6938106120463083,0.3856309296335274,2.9326510458032526,0.3183690472208254
0.5,1,RONPO,0.24909056413766398,0.0692784830831614,0.5347584243996336,0.20580343147402239,1.7630698276387944,0.31637171404104153,3.1361407152894367,0.3183690472208254
1.0,1,RONPO,0.24382555075920556,0.07454349646161981,0.5348732786846017,0.1871381498534948,1.77309543837646,0.3063461033033757,3.1675247350830777,0.3183690472208254
nan,2,SPPO-avg,0.060083147667393956,0.26504158767293046,0.5350077295285006,0.9995121945265537,0.004689155265367158,2.074752386414468,nan,0.32512473534032443
