rho,method,n,worst_case_mean,worst_case_se,robust_gap_mean,robust_gap_se,avg_ref_mean,avg_ref_se,entropy_mean,entropy_se,kl_to_ref_mean,kl_to_ref_se
0.0,SPPO-avg,10,0.1042057488142637,0.01644351400801035,0.18770588659799364,0.019898901474964266,0.5341059389836779,0.008517514351113106,1.3057708324963582,0.12490682888068734,1.179135817292153,0.12490682888077712
0.0,INPO-avg,10,0.2568817209886246,0.008434873287136184,0.03502991442363278,0.009799591376006554,0.5237893805202356,0.002979424285978871,2.2594542364092147,0.030020278239164262,0.22545241337878547,0.03002027823916426
0.0,MNPO-hist-avg,10,0.2750896743877921,0.011703778505993183,0.016821961024465232,0.006341837099779902,0.5111781314447364,0.0012460216325786918,2.451243499301359,0.003859521162243641,0.033663150486641785,0.0038595211622436255
0.0,HT-MNPO-mix,10,0.2542514150678802,0.008271786336308321,0.03766022034437715,0.010432269762896287,0.5240572270004646,0.0030403114710007752,2.24947112211875,0.03215706830875841,0.23543552766925,0.032157068308758426
0.0,RONPO,10,0.3309441295125156,0.011454930182701687,-0.03903249410025827,0.00687791455758633,0.5111113002894289,0.0021088911740858017,2.362452090161537,0.016847265943405857,0.12245455962646272,0.016847265943405857
0.25,SPPO-avg,10,0.13819945779858359,0.010435037970009055,0.14099320814272737,0.015610210532236482,0.5381723008771788,0.01037023498030154,1.2743281204001151,0.1238172374037604,1.2105785293884286,0.1238172374039012
0.25,INPO-avg,10,0.2650542832344975,0.013127703913211714,0.014138382706813498,0.014070689472537935,0.5294755597667529,0.0034927998438280396,2.2164626340538294,0.031305582717481,0.26844401573417126,0.031305582717481
0.25,MNPO-hist-avg,10,0.2729241083379452,0.010673267919395001,0.006268557603365757,0.014266018881778484,0.5141640295763448,0.0018006040437316775,2.4421905409315734,0.005547062519954961,0.04271610885642696,0.005547062519954973
0.25,HT-MNPO-mix,10,0.26295543523060616,0.013392203893577074,0.01623723071070479,0.014015898822394582,0.5299301152475617,0.003559882332075245,2.204719358394546,0.033097813893174885,0.28018729139345466,0.03309781389317481
0.25,RONPO,10,0.33259082828045566,0.0077800904510767314,-0.0533981623391447,0.012770766537785368,0.5135204098610795,0.0018361235307422328,2.3456622313326565,0.015997372842015634,0.13924441845534405,0.015997372842015634
0.5,SPPO-avg,10,0.13967267156298085,0.022655869099760008,0.15825137685332663,0.02440880212503459,0.5582927593629715,0.007346090072754399,1.1997520760529605,0.0989869392195908,1.2851545737363548,0.09898693921969641
0.5,INPO-avg,10,0.28013880436826055,0.01146561708158847,0.017785244048046975,0.0084685735342045,0.5453850288154657,0.005516938986423004,2.1311692063137597,0.042532912000087145,0.3537374434742401,0.042532912000087165
0.5,MNPO-hist-avg,10,0.27938030343909964,0.012527131984555347,0.018543744977207826,0.013507607064560053,0.5269780282098294,0.0031410355683894092,2.4076203219846706,0.009012962821237551,0.07728632780332936,0.009012962821237529
0.5,HT-MNPO-mix,10,0.2785847132049703,0.011665611993310414,0.01933933521133718,0.00865287777569002,0.5456237792187683,0.00554344754048814,2.12415746432206,0.043531304765593144,0.36074918546594,0.04353130476559316
0.5,RONPO,10,0.33414174737326996,0.008917876360990111,-0.036217698956962446,0.006896425557006016,0.5321185018825284,0.003949649472261465,2.2747737019215175,0.029697599658860884,0.2101329478664827,0.029697599658860836
0.75,SPPO-avg,10,0.10668235243711044,0.016851824378635468,0.20475702580482916,0.019281500868424794,0.5638356870086793,0.014368851484988334,0.9728166011794451,0.09026976042363223,1.5120900486102364,0.09026976042364938
0.75,INPO-avg,10,0.3141458741304942,0.013724461508720915,-0.0027064958885546385,0.016625056803702073,0.5544313766844902,0.00535249885943595,2.0484311038777667,0.03970118668522389,0.43647554591023335,0.03970118668522391
0.75,MNPO-hist-avg,10,0.30319315610344066,0.012396066028926235,0.008246222138498915,0.01447761473247367,0.5350498142035078,0.0026229861133653903,2.3811069881227476,0.007951385975126303,0.10379966166525287,0.007951385975126315
0.75,HT-MNPO-mix,10,0.31307055803323,0.01372073300377637,-0.0016311797912903548,0.016550349303190867,0.5544997242753451,0.0053925886960640886,2.043528925087795,0.04041735978283651,0.44137772470020564,0.040417359782836525
0.75,RONPO,10,0.35769024465949584,0.009350331782678606,-0.046250866417556255,0.013300883355957305,0.5443620438418217,0.005054747796262176,2.2033221633169844,0.025394001484686613,0.28158448647101586,0.02539400148468655
1.0,SPPO-avg,10,0.14823041311567506,0.044046345621219035,0.2765391045368114,0.038440644168294645,0.5928915228698359,0.027712674864845667,0.4569967392130718,0.10145632315192447,2.027909910576993,0.10145632315193384
1.0,INPO-avg,10,0.4673962955151583,0.0018412224615640428,-0.042626777862671814,0.011115545424343957,0.5663759076675616,0.00848550511389503,2.0178181634329206,0.045270034141038876,0.46708848635508005,0.045270034141038897
1.0,MNPO-hist-avg,10,0.39756587622564254,0.007565469156071018,0.0272036414268439,0.011666042960916178,0.5500868302827592,0.006279262877336856,2.3414541900521333,0.017444985256721383,0.143452459735867,0.01744498525672139
1.0,HT-MNPO-mix,10,0.4673962955151583,0.0018412224615640311,-0.042626777862671855,0.011115545424343976,0.5663759076675616,0.00848550511389503,2.01781816343292,0.04527003414103891,0.46708848635508016,0.045270034141038945
1.0,RONPO,10,0.4674555268192909,0.0018658055963975786,-0.04268600916680449,0.011125336710514785,0.5663357659171724,0.008486009900916223,2.017885644104036,0.0452500131376929,0.46702100568396443,0.045250013137692925
