batch_size,method,n,worst_case_mean,worst_case_se,robust_gap_mean,robust_gap_se,avg_ref_mean,avg_ref_se,decoy_mass_mean,decoy_mass_se,entropy_mean,entropy_se,kl_to_ref_mean,kl_to_ref_se
8,RONPO-stochastic,20,0.202301805048506,0.004815774215107431,0.10006815095995632,0.005912827865814055,0.5008244073581354,0.0018433015077878709,0.11914369649980927,0.01731594973946124,1.9257155936317176,0.025663005929516945,0.15372594804811773,0.025663005929516952
16,RONPO-stochastic,20,0.21009286197256163,0.00515438260546844,0.09227709403590072,0.0057723023489523245,0.5020308012439123,0.0022624133363920293,0.15686155134652077,0.02087984339993328,1.9119993756849183,0.022988871864167707,0.16744216599491765,0.02298887186416771
32,RONPO-stochastic,20,0.22139240940087718,0.005246663344092146,0.08097754660758515,0.005661482248971572,0.5110422835096461,0.0015911126622519622,0.17871091698314828,0.016313298963833312,1.8973695501705539,0.01864102089407178,0.1820719915092815,0.018641020894071793
64,RONPO-stochastic,20,0.24371516537157095,0.004035020099220874,0.05865479063689135,0.0052351353770434695,0.5130642649557026,0.0011741878828756239,0.19706792289807035,0.00809982220055223,1.8818621831113471,0.018216154990688547,0.19757935856848868,0.01821615499068854
128,RONPO-stochastic,20,0.2464506689166741,0.00374325045464426,0.05591928709178825,0.0048270554909935065,0.5182269675032986,0.00114394310182787,0.2487094930939561,0.0072471004245335275,1.8153882531946894,0.01867044923913289,0.2640532884851464,0.01867044923913289
256,RONPO-stochastic,20,0.24538002734564293,0.0018981263834398966,0.056989928662819454,0.0029283423453528926,0.520489041299915,0.0008077696343461157,0.25859188393204113,0.005131240431323666,1.826407919378001,0.015983935082221803,0.2530336223018351,0.01598393508222179
512,RONPO-stochastic,20,0.25272997186065965,0.0016481085006752074,0.0496399841478027,0.003095793785316165,0.5208287912692107,0.0007348408599459101,0.2431343150195811,0.004243486452969555,1.8331607663598366,0.010696395827903769,0.24628077531999928,0.01069639582790379
1024,RONPO-stochastic,20,0.2492788982878485,0.0008302741829719929,0.05309105772061381,0.0028224956244164746,0.5201866074700596,0.0005054267184236045,0.24418266141251274,0.002466777842398564,1.8562888445403345,0.004923012721838366,0.2231526971395012,0.004923012721838359
2048,RONPO-stochastic,20,0.2525088279728764,0.0007408835686221324,0.04986112803558592,0.0029932292242750764,0.5212252093611799,0.0004871238666045651,0.2516868801665685,0.0016393402931010044,1.8297456769257336,0.003972445004435213,0.24969586475410194,0.003972445004435213
4096,RONPO-stochastic,20,0.24982745019804947,0.0003854295296123022,0.05254250581041288,0.0026774437627262245,0.520636795017918,0.00036704701508330305,0.25074954471412414,0.0012415607648907745,1.8461646021591924,0.0029435015037581813,0.23327693952064316,0.002943501503758178
